source_group,document_type,access_status,review_status,n_files
add_health_codebooks,codebook,public_use_documentation,priority_for_variable_mapping,3
add_health_codebooks,unclassified_document,public_use_documentation,needs_manual_review,1
add_health_icpsr,icpsr_public_use_overview,public_use_documentation,reviewed_for_public_use_overview,1
add_health_official,cohort_profile,public_or_methodological_documentation,reviewed_for_background,1
add_health_official,methodological_overview,public_or_methodological_documentation,reviewed_for_background,1
add_health_official,nonresponse_report,public_or_methodological_documentation,reviewed_for_background,1
add_health_official,study_design_report,public_or_methodological_documentation,reviewed_for_background,1
add_health_official,survey_mode_transition_report,public_or_methodological_documentation,reviewed_for_background,1
add_health_official,topic_specific_documentation,public_or_methodological_documentation,reviewed_for_background,1
add_health_user_guides,analysis_guidelines,public_or_methodological_documentation,reviewed_for_design_and_weights,1
add_health_user_guides,analysis_guidelines,public_use_documentation,reviewed_for_design_and_weights,1
add_health_user_guides,analysis_guidelines,restricted_use_documentation,reviewed_for_design_and_weights,1
add_health_user_guides,data_guide,public_use_documentation,reviewed_for_design_and_weights,1
add_health_user_guides,sampling_weights_documentation,public_or_methodological_documentation,reviewed_for_design_and_weights,3
thesis_reference,thesis_defense_presentation,local_thesis_reference_not_for_public_commit,reviewed_for_construct_alignment,1
thesis_reference,thesis_questionnaire,local_thesis_reference_not_for_public_commit,reviewed_for_construct_alignment,1
