theoretical_model,construct,variable_role,response_scale,priority_for_mapping,number_of_items,item_codes
Behavioural risk model,Condom or contraceptive use,Main outcome or protective behaviour,sexual_history_category,High,1,ISX3
Behavioural risk model,Early sexual initiation,Outcome or risk indicator,sexual_history_category,High,1,ISX1
Behavioural risk model,Multiple partners,Outcome or risk indicator,sexual_history_category,High,1,ISX2
Behavioural risk model,Sexual activity frequency,Risk exposure indicator,sexual_history_category,Medium,1,ISX4
Behavioural risk model,Sexual initiation,Outcome or sample stratification variable,yes_no,High,1,SEX_EVER
Health Belief Model,Exposure to HIV/AIDS information,Contextual or knowledge variable,yes_no,Medium,1,INA1
Health Belief Model,HIV prevention knowledge,Knowledge item,true_false,High,1,CVS8
Health Belief Model,HIV prevention knowledge,Knowledge item,true_false,Medium,1,CVS9
Health Belief Model,HIV/AIDS factual knowledge,Knowledge item,true_false,High,3,"CVS1, CVS2, CVS3"
Health Belief Model,HIV/AIDS misconception,Knowledge item,true_false,High,2,"CVS4, CVS5"
Health Belief Model,HIV/AIDS misconception,Knowledge item,true_false,Medium,1,CVS6
Health Belief Model,Media information exposure,Information variable,yes_no,Medium,1,INA3
Health Belief Model,Perceived barriers,Explanatory construct,likert_agreement_5,High,2,"BAP1, BAP2"
Health Belief Model,Perceived barriers,Explanatory construct,likert_agreement_5,Medium,1,BAP3
Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,High,2,"BEP1, BEP4"
Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,Medium,2,"BEP2, BEP3"
Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,High,1,SEP1
Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Low,2,"SEP2, SEP3"
Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Medium,1,SEP4
Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,High,2,"SUP1, SUP2"
Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,Medium,2,"SUP3, SUP4"
Health Belief Model / Planned Behaviour,Access self-efficacy,Explanatory construct,self_efficacy_certainty_5,Medium,2,"AEF6, AEF7"
Health Belief Model / Planned Behaviour,Condom self-efficacy,Explanatory construct,self_efficacy_certainty_5,High,2,"AEF1, AEF2"
Health Belief Model / Planned Behaviour,Condom self-efficacy under risk,Explanatory construct,self_efficacy_certainty_5,Medium,1,AEF3
Health Belief Model / Planned Behaviour,Negotiation self-efficacy,Explanatory construct,self_efficacy_certainty_5,High,1,AEF4
Health Belief Model / Planned Behaviour,Preventive communication,Knowledge or attitude item,true_false,Medium,1,CVS7
Health Belief Model / Planned Behaviour,Refusal self-efficacy,Explanatory construct,self_efficacy_certainty_5,High,1,AEF5
Health Belief Model / Socioecological,Peer discussion,Information and peer context,yes_no,Medium,1,INA2
Socioecological model,Age,Sample criterion and control variable,single_choice_age,High,1,AGE
Socioecological model,Cultural norms,Contextual explanatory variable,yes_no,Medium,1,CULT_PRESEX
Socioecological model,Educational commitment,Qualitative construct,open_text,High,1,Q03
Socioecological model,Family/community involvement,Qualitative construct,open_text,Medium,1,Q05
Socioecological model,Gender,Control and heterogeneity variable,single_choice_gender,High,1,GEN
Socioecological model,Geographic context,Control or stratification variable,single_choice_location,Medium,1,RES
Socioecological model,Household assets,SES proxy,asset_count,High,1,AFL1
