priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,core_keywords,expected_wave_priority,mapping_priority,mapping_rationale
1,Sample alignment,GRADE,Socioecological model,School grade at Wave I,grade; school grade; current grade; 10th grade; 11th grade; 12th grade,Wave I,Critical,Required to restrict the Add Health sample to grades 10-12.
2,Sample alignment,AGE,Socioecological model,Age at Wave I,age; age at interview; date of birth,Wave I,Critical,Required for complementary 15-19 age alignment.
3,Demographics,GEN,Socioecological model,Sex or gender,sex; gender; male; female,Wave I,High,Core control and heterogeneity variable.
4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,car; vehicle; own room; computer; household; parent education; income,Wave I,High,Required to approximate socioeconomic position.
5,Sexual initiation,SEX_EVER; ISX1,Behavioural risk model,Ever had sex and age at first sex,ever had sex; sexual intercourse; first sex; age first sex; age at first intercourse,Wave I to Wave III,Critical,Central behavioural outcome and risk indicator.
6,Multiple partners,ISX2,Behavioural risk model,Number of sexual partners,number of partners; sexual partners; partners in past year,Wave I to Wave III,High,Main sexual risk indicator.
7,Condom use,ISX3; APC; AEF; IPC,Health Belief Model / Theory of Planned Behaviour,Condom use and intention to use condom,condom; condom use; used condom; use condoms; always use condom,Wave I to Wave III,Critical,Central protective behaviour in the thesis.
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,contraception; contraceptive; birth control; pill; method,Wave I to Wave III,Critical,Central pregnancy-prevention construct.
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,pregnant; pregnancy; got pregnant; pregnancy outcome; birth,Wave I to Wave IV,Critical,Key thesis outcome related to early pregnancy.
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",HIV; AIDS; STI; STD; sexually transmitted; test; diagnosis,Wave I to Wave III,Critical,Key thesis outcome or related health indicator.
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,AIDS knowledge; HIV knowledge; transmission; prevention; sex education; AIDS education,Wave I to Wave III,High,Knowledge was a core construct in the thesis.
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,risk of AIDS; risk of HIV; worried; worry; chance of getting AIDS; chance of getting HIV,Wave I to Wave III,High,Core MCS construct.
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,serious; seriousness; AIDS is serious; HIV is serious; death,Wave I to Wave III,Medium,"Core MCS construct, but direct equivalence may be limited."
14,Perceived benefits,BEP1-BEP4,Health Belief Model,Benefits of condom use or prevention,condom prevents; prevent AIDS; prevent HIV; safer sex; abstain,Wave I to Wave III,High,Core MCS construct.
15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,embarrassed; embarrassment; difficult to buy condom; partner refuses; less pleasure; access,Wave I to Wave III,High,Core MCS construct.
16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",self efficacy; sure could; could use condom; refuse sex; say no; convince partner,Wave I to Wave III,Critical,Central bridge construct in the thesis.
17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",attitude; believe; wrong to have sex; should use condom; should use birth control,Wave I to Wave III,High,Core TCP construct.
18,Peer norms,NPP1-NPP3; NP4-NP6,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,friends; peers; peer pressure; friends had sex; friends use condoms; friends think,Wave I to Wave III,Critical,Central TCP and socioecological construct.
19,Family monitoring,LFA1-LFA2,Socioecological model,Parental monitoring,parents know; know where; know who; whereabouts; parents know friends,Wave I,Critical,Strong expected equivalence with Add Health family items.
20,Family support,LFA3,Socioecological model,Family support or connectedness,parents care; family support; talk to parents; close to mother; close to father; help with problems,Wave I,High,Important contextual predictor and mediation source.
21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,school connectedness; feel part of school; teachers care; school belonging; school climate,Wave I to Wave II,Critical,Important contextual construct from the qualitative component.
22,Sex education,INA4; Q07,Socioecological model / Health Belief Model,School-based sex education and health information,sex education; AIDS education; HIV education; taught about AIDS; school taught,Wave I to Wave III,High,Links school context to HIV and pregnancy prevention.
