field,value
source_document,Doctoral thesis questionnaire
source_type,Research instrument metadata
original_project,"Doctoral thesis on adolescent pregnancy, HIV infection and sexual risk behaviour"
target_population,Secondary-school adolescents
school_grade_range,10th to 12th grade
age_range,15 to 19 years
geographic_scope,"Matola, Boane and Namaacha, Maputo Province, Mozambique"
main_topics,"Adolescent pregnancy, HIV, sexual risk behaviour, family connection, school connection and health beliefs"
purpose_in_current_project,Create a construct inventory to guide Add Health variable mapping
microdata_imported,No
