priority_id,thesis_construct_block,theoretical_model,add_health_target_domain,expected_wave_priority,n_requested_variables,n_available_in_sav,n_missing_from_sav,import_status,imported_variables,missing_variables
1,Sample alignment,Socioecological model,School grade at Wave I,Wave I,1,1,0,all_requested_variables_imported,H1GI20,
2,Sample alignment,Socioecological model,Age at Wave I,Wave I,4,4,0,all_requested_variables_imported,H1GI1M; H1GI1Y; IMONTH; IYEAR,
3,Demographics,Socioecological model,Sex or gender,Wave I,1,1,0,all_requested_variables_imported,BIO_SEX,
4,Household socioeconomic status,Socioecological model,Household assets and family socioeconomic status,Wave I,4,4,0,all_requested_variables_imported,H1RF1; H1RM1; PA21; PA55,
5,Sexual initiation,Behavioural risk model,Ever had sex and age at first sex,Wave I to Wave III,3,3,0,all_requested_variables_imported,H1CO1; H1CO2M; H1CO2Y,
7,Condom use,Health Belief Model / Theory of Planned Behaviour,Condom use and intention to use condom,Wave I to Wave III,2,2,0,all_requested_variables_imported,H1CO8; H1CO9,
8,Contraceptive use,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,3,3,0,all_requested_variables_imported,H1CO13; H1CO3; H1CO6,
9,Pregnancy outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,2,2,0,all_requested_variables_imported,H1FP7; H1FP8,
10,HIV/STI outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,4,4,0,all_requested_variables_imported,H1CO16A; H1CO16C; H1CO16D; H1HS9,
11,HIV/AIDS knowledge,Health Belief Model,HIV/AIDS knowledge and information exposure,Wave I to Wave III,1,1,0,all_requested_variables_imported,H1TS8,
12,Perceived susceptibility,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,4,4,0,all_requested_variables_imported,H1GH44; H1GH46; H1RP5; H1RP6,
13,Perceived severity,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,7,7,0,all_requested_variables_imported,H1MO10; H1MO11; H1MO12; H1MO13; H1MO14; H1MO9; H1RP3,
14,Perceived benefits,Health Belief Model,Benefits of condom use or prevention,Wave I to Wave III,1,1,0,all_requested_variables_imported,H1BC6,
15,Perceived barriers,Health Belief Model,Barriers to condom use or prevention,Wave I to Wave III,7,7,0,all_requested_variables_imported,H1BC1; H1BC2; H1BC3; H1BC4; H1BC5; H1BC7; H1BC8,
16,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Wave I to Wave III,4,4,0,all_requested_variables_imported,H1PF6; H1SE1; H1SE2; H1SE3,
17,Attitudes,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Wave I to Wave III,7,7,0,all_requested_variables_imported,H1MO1; H1MO2; H1MO3; H1MO5; H1PA3; H1PA6; H1PA7,
18,Peer norms,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,Wave I to Wave III,3,3,0,all_requested_variables_imported,H1PF12; H1PF17; H1PF9,
19,Family monitoring,Socioecological model,Parental monitoring,Wave I,3,3,0,all_requested_variables_imported,H1WP1; H1WP2; H1WP8,
20,Family support,Socioecological model,Family support or connectedness,Wave I,8,8,0,all_requested_variables_imported,H1PR3; H1PR5; H1PR7; H1PR8; H1WP10; H1WP13; H1WP14; H1WP9,
21,School connectedness,Socioecological model,School connectedness and school climate,Wave I to Wave II,5,5,0,all_requested_variables_imported,H1ED19; H1ED20; H1ED23; H1ED24; H1PR2,
