dictionary_row_id,priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_analytic_use,analysis_role,variable_level,equivalence_strategy,expected_wave_priority,add_health_wave,requested_variable_name,sav_variable_name,available_in_sav,import_decision,add_health_variable_label,public_use_status,mapping_quality,final_decision,import_priority,reviewer_notes
1,1,Sample alignment,GRADE,Socioecological model,School grade at Wave I,Sample restriction,sample_filter,baseline_covariate,Direct sample restriction,Wave I,Wave I,H1GI20,H1GI20,TRUE,import,S1Q20 GRADE-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Usar para restringir a amostra principal aos graus 10-12 no Wave I.
2,2,Sample alignment,AGE,Socioecological model,Age at Wave I,Sample restriction,sample_filter,baseline_covariate,Direct sample restriction,Wave I,Wave I,H1GI1Y,H1GI1Y,TRUE,import,S1Q1 BIRTH YEAR-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Ano de nascimento. Usar com mês de nascimento e data de entrevista para derivar idade aproximada no Wave I.
3,2,Sample alignment,AGE,Socioecological model,Age at Wave I,Sample restriction,sample_filter,baseline_covariate,Direct sample restriction,Wave I,Wave I,H1GI1M,H1GI1M,TRUE,import,S1Q1 BIRTH MONTH-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Mês de nascimento. Usar com ano de nascimento e mês/ano de entrevista para derivar idade aproximada no Wave I.
4,2,Sample alignment,AGE,Socioecological model,Age at Wave I,Sample restriction,sample_filter,baseline_covariate,Direct sample restriction,Wave I,Wave I,IMONTH,IMONTH,TRUE,import,MONTH OF INTERVIEW-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Mês de entrevista. Variável auxiliar para derivar idade no Wave I.
5,2,Sample alignment,AGE,Socioecological model,Age at Wave I,Sample restriction,sample_filter,baseline_covariate,Direct sample restriction,Wave I,Wave I,IYEAR,IYEAR,TRUE,import,YEAR OF INTERVIEW-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Ano de entrevista. Variável auxiliar para derivar idade no Wave I.
6,5,Sexual initiation,SEX_EVER; ISX1,Behavioural risk model,Ever had sex and age at first sex,Outcome or key behavioural variable,outcome_or_key_behaviour,behavioural_or_health_outcome,Direct or near-direct behavioural outcome,Wave I to Wave III,Wave I,H1CO1,H1CO1,TRUE,import,S24Q1 EVER HAVE SEX-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Indicador principal de iniciação sexual: já teve sexo.
7,5,Sexual initiation,SEX_EVER; ISX1,Behavioural risk model,Ever had sex and age at first sex,Outcome or key behavioural variable,outcome_or_key_behaviour,behavioural_or_health_outcome,Direct or near-direct behavioural outcome,Wave I to Wave III,Wave I,H1CO2M,H1CO2M,TRUE,import,S24Q2M FIRST TIMEN SEX-MONTH-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,"Mês da primeira relação sexual; usar com ano para derivar idade/tempo de iniciação, se necessário."
8,5,Sexual initiation,SEX_EVER; ISX1,Behavioural risk model,Ever had sex and age at first sex,Outcome or key behavioural variable,outcome_or_key_behaviour,behavioural_or_health_outcome,Direct or near-direct behavioural outcome,Wave I to Wave III,Wave I,H1CO2Y,H1CO2Y,TRUE,import,S24Q2Y FIRST TIME SEX-YEAR-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,"Ano da primeira relação sexual; usar para derivar idade/tempo de iniciação, se necessário."
9,7,Condom use,ISX3; APC; AEF; IPC,Health Belief Model / Theory of Planned Behaviour,Condom use and intention to use condom,Outcome or key behavioural variable,protective_behaviour_or_intention,behavioural_or_health_outcome,Direct or near-direct protective behaviour,Wave I to Wave III,Wave I,H1CO8,H1CO8,TRUE,import,S24Q8 EVER USE A CONDOM DURING SEX-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Uso de preservativo alguma vez durante sexo; considerar apenas elegíveis conforme skip pattern.
10,7,Condom use,ISX3; APC; AEF; IPC,Health Belief Model / Theory of Planned Behaviour,Condom use and intention to use condom,Outcome or key behavioural variable,protective_behaviour_or_intention,behavioural_or_health_outcome,Direct or near-direct protective behaviour,Wave I to Wave III,Wave I,H1CO9,H1CO9,TRUE,import,S24Q9 HOW OFTEN USE CONDOM-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Frequência de uso de preservativo; maior valor indica maior proteção.
