sav_variable_name,variable_label_from_sav,thesis_construct_block,theoretical_model,analysis_role,variable_level,sensitivity_group,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,r_variable_class,mapping_quality,import_priority
H1GI20,S1Q20 GRADE-W1,Sample alignment,Socioecological model,sample_filter,baseline_covariate,general_covariate,6504,167,6337,2.57,97.43,7,haven_labelled,direct_equivalent,1 - import first
H1GI1Y,S1Q1 BIRTH YEAR-W1,Sample alignment,Socioecological model,sample_filter,baseline_covariate,general_covariate,6504,3,6501,0.05,99.95,11,haven_labelled,near_direct_equivalent,1 - import first
H1GI1M,S1Q1 BIRTH MONTH-W1,Sample alignment,Socioecological model,sample_filter,baseline_covariate,general_covariate,6504,3,6501,0.05,99.95,13,haven_labelled,near_direct_equivalent,1 - import first
IMONTH,MONTH OF INTERVIEW-W1,Sample alignment,Socioecological model,sample_filter,baseline_covariate,general_covariate,6504,0,6504,0,100,10,haven_labelled; vctrs_vctr; double,near_direct_equivalent,1 - import first
IYEAR,YEAR OF INTERVIEW-W1,Sample alignment,Socioecological model,sample_filter,baseline_covariate,general_covariate,6504,0,6504,0,100,2,haven_labelled; vctrs_vctr; double,near_direct_equivalent,1 - import first
H1CO1,S24Q1 EVER HAVE SEX-W1,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,86,6418,1.32,98.68,3,haven_labelled,direct_equivalent,1 - import first
H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,4128,2376,63.47,36.53,13,haven_labelled,near_direct_equivalent,1 - import first
H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,4117,2387,63.3,36.7,16,haven_labelled,near_direct_equivalent,1 - import first
H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,Condom use,Health Belief Model / Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,5867,637,90.21,9.79,3,haven_labelled,direct_equivalent,1 - import first
H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,Condom use,Health Belief Model / Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,6117,387,94.05,5.95,6,haven_labelled,direct_equivalent,1 - import first
H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,3956,2548,60.82,39.18,3,haven_labelled,direct_equivalent,1 - import first
H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,3971,2533,61.05,38.95,3,haven_labelled,direct_equivalent,1 - import first
H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,6504,5881,623,90.42,9.58,3,haven_labelled,near_direct_equivalent,1 - import first
H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,Pregnancy outcome,Behavioural risk / reproductive health,reproductive_health_outcome,behavioural_or_health_outcome,sensitive_reproductive_health,6504,5254,1250,80.78,19.22,3,haven_labelled,direct_equivalent,1 - import first
H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,Pregnancy outcome,Behavioural risk / reproductive health,reproductive_health_outcome,behavioural_or_health_outcome,sensitive_reproductive_health,6504,6271,233,96.42,3.58,5,haven_labelled,direct_equivalent,1 - import first
H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,6504,3942,2562,60.61,39.39,3,haven_labelled,direct_equivalent,1 - import first
H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,6504,21,6483,0.32,99.68,3,haven_labelled,proxy_equivalent,1 - import first
H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,6504,3946,2558,60.67,39.33,3,haven_labelled,direct_equivalent,1 - import first
H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,6504,3943,2561,60.62,39.38,3,haven_labelled,direct_equivalent,1 - import first
H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,general_covariate,6504,2161,4343,33.23,66.77,7,haven_labelled,near_direct_equivalent,1 - import first
H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,general_covariate,6504,2134,4370,32.81,67.19,7,haven_labelled,near_direct_equivalent,1 - import first
H1SE3,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,2134,4370,32.81,67.19,7,haven_labelled,near_direct_equivalent,1 - import first
H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,209,6295,3.21,96.79,6,haven_labelled,near_direct_equivalent,1 - import first
H1PF12,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,sensitive_sexual_behaviour,6504,366,6138,5.63,94.37,6,haven_labelled,proxy_equivalent,1 - import first
H1PF9,S18Q9 FRIENDS KNOW WITHDRAWAL METHOD-W1,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,contextual_predictor,6504,437,6067,6.72,93.28,6,haven_labelled,proxy_equivalent,1 - import first
H1PF17,S18Q17 FRIENDS KNOW RHYTHM METHOD-W1,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,contextual_predictor,6504,464,6040,7.13,92.87,6,haven_labelled,proxy_equivalent,1 - import first
H1WP1,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,Family monitoring,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,151,6353,2.32,97.68,3,haven_labelled,near_direct_equivalent,1 - import first
H1WP2,S16Q2 MAKE OWN DECISION-FRIEND-W1,Family monitoring,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,142,6362,2.18,97.82,3,haven_labelled,near_direct_equivalent,1 - import first
H1WP8,S16Q8 FREQ-EAT DINNER W/ PARENT-W1,Family monitoring,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,154,6350,2.37,97.63,9,haven_labelled,proxy_equivalent,1 - import first
H1ED19,S5Q19 FEEL CLOSE TO PEOPLE AT SCHOOL-W1,School connectedness,Socioecological model,socioecological_school_construct,school_context,contextual_predictor,6504,138,6366,2.12,97.88,6,haven_labelled,direct_equivalent,1 - import first
H1ED20,S5Q20 FEEL PART OF YOUR SCHOOL-W1,School connectedness,Socioecological model,socioecological_school_construct,school_context,contextual_predictor,6504,138,6366,2.12,97.88,6,haven_labelled,direct_equivalent,1 - import first
H1ED23,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,School connectedness,Socioecological model,socioecological_school_construct,school_context,contextual_predictor,6504,137,6367,2.11,97.89,6,haven_labelled,near_direct_equivalent,1 - import first
H1ED24,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,School connectedness,Socioecological model,socioecological_school_construct,school_context,contextual_predictor,6504,137,6367,2.11,97.89,6,haven_labelled,near_direct_equivalent,1 - import first
H1PR2,S35Q2 TEACHERS CARE ABOUT YOU-W1,School connectedness,Socioecological model,socioecological_school_construct,school_context,contextual_predictor,6504,28,6476,0.43,99.57,7,haven_labelled,near_direct_equivalent,1 - import first
BIO_SEX,BIOLOGICAL SEX-W1,Demographics,Socioecological model,control_variable,baseline_covariate,sensitive_sexual_behaviour,6504,1,6503,0.02,99.98,3,haven_labelled,direct_equivalent,2 - import second
H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,general_covariate,6504,427,6077,6.57,93.43,13,haven_labelled,near_direct_equivalent,2 - import second
H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,general_covariate,6504,2010,4494,30.9,69.1,13,haven_labelled,near_direct_equivalent,2 - import second
PA55,A55 TOTAL HOUSEHOLD INCOME-PQ,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,general_covariate,6504,1575,4929,24.22,75.78,151,haven_labelled,near_direct_equivalent,2 - import second
PA21,A21 RECEIVING PUBLIC ASSISTANCE-PQ,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,general_covariate,6504,891,5613,13.7,86.3,3,haven_labelled,proxy_equivalent,2 - import second
H1TS8,S4Q8 LEARNED-AIDS-W1,HIV/AIDS knowledge,Health Belief Model,health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,6504,15,6489,0.23,99.77,3,haven_labelled,proxy_equivalent,2 - import second
H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,55,6449,0.85,99.15,6,haven_labelled,near_direct_equivalent,2 - import second
H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_hiv_sti,6504,81,6423,1.25,98.75,6,haven_labelled,near_direct_equivalent,2 - import second
H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,6504,2111,4393,32.46,67.54,6,haven_labelled,direct_equivalent,2 - import second
H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,2114,4390,32.5,67.5,6,haven_labelled,direct_equivalent,2 - import second
H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,Perceived benefits,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1868,4636,28.72,71.28,6,haven_labelled,proxy_equivalent,2 - import second
H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1833,4671,28.18,71.82,6,haven_labelled,direct_equivalent,2 - import second
H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1852,4652,28.47,71.53,6,haven_labelled,direct_equivalent,2 - import second
H1BC3,S27Q3 TOO MUCH PLANNING-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1849,4655,28.43,71.57,6,haven_labelled,direct_equivalent,2 - import second
H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,1858,4646,28.57,71.43,6,haven_labelled,direct_equivalent,2 - import second
H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1882,4622,28.94,71.06,6,haven_labelled,direct_equivalent,2 - import second
H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,general_covariate,6504,1827,4677,28.09,71.91,6,haven_labelled,near_direct_equivalent,2 - import second
H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,1864,4640,28.66,71.34,6,haven_labelled,near_direct_equivalent,2 - import second
H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,2147,4357,33.01,66.99,6,haven_labelled,near_direct_equivalent,2 - import second
H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,2168,4336,33.33,66.67,6,haven_labelled,near_direct_equivalent,2 - import second
H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,2161,4343,33.23,66.77,6,haven_labelled,near_direct_equivalent,2 - import second
H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6504,2207,4297,33.93,66.07,6,haven_labelled,near_direct_equivalent,2 - import second
H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,general_covariate,6504,481,6023,7.4,92.6,6,haven_labelled,near_direct_equivalent,2 - import second
H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,general_covariate,6504,2271,4233,34.92,65.08,6,haven_labelled,near_direct_equivalent,2 - import second
H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,general_covariate,6504,115,6389,1.77,98.23,3,haven_labelled,near_direct_equivalent,2 - import second
H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,24,6480,0.37,99.63,7,haven_labelled,direct_equivalent,2 - import second
H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,29,6475,0.45,99.55,7,haven_labelled,direct_equivalent,2 - import second
H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,29,6475,0.45,99.55,7,haven_labelled,direct_equivalent,2 - import second
H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,27,6477,0.42,99.58,7,haven_labelled,direct_equivalent,2 - import second
H1WP9,S16Q9 CLOSE TO MOM-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,375,6129,5.77,94.23,6,haven_labelled,near_direct_equivalent,2 - import second
H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,374,6130,5.75,94.25,6,haven_labelled,near_direct_equivalent,2 - import second
H1WP13,S16Q13 CLOSE TO DAD-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,1957,4547,30.09,69.91,6,haven_labelled,near_direct_equivalent,2 - import second
H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,Family support,Socioecological model,socioecological_family_construct,family_context,contextual_predictor,6504,1957,4547,30.09,69.91,6,haven_labelled,near_direct_equivalent,2 - import second
H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_hiv_sti,6504,2077,4427,31.93,68.07,6,haven_labelled,near_direct_equivalent,3 - import after review
H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,6504,2159,4345,33.19,66.81,6,haven_labelled,proxy_equivalent,3 - import after review
H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,6504,2148,4356,33.03,66.97,6,haven_labelled,proxy_equivalent,3 - import after review
H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,6504,2171,4333,33.38,66.62,6,haven_labelled,proxy_equivalent,3 - import after review
H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,6504,2164,4340,33.27,66.73,6,haven_labelled,proxy_equivalent,3 - import after review
