sav_variable_name,variable_label_from_sav,r_variable_class,n_unique_values,thesis_construct_block,theoretical_model,analysis_role,variable_level,add_health_target_domain,mapping_quality,import_priority,sensitivity_group
H1GI20,S1Q20 GRADE-W1,haven_labelled,7,Sample alignment,Socioecological model,sample_filter,baseline_covariate,School grade at Wave I,direct_equivalent,1 - import first,general_covariate
H1GI1Y,S1Q1 BIRTH YEAR-W1,haven_labelled,11,Sample alignment,Socioecological model,sample_filter,baseline_covariate,Age at Wave I,near_direct_equivalent,1 - import first,general_covariate
H1GI1M,S1Q1 BIRTH MONTH-W1,haven_labelled,13,Sample alignment,Socioecological model,sample_filter,baseline_covariate,Age at Wave I,near_direct_equivalent,1 - import first,general_covariate
IMONTH,MONTH OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,10,Sample alignment,Socioecological model,sample_filter,baseline_covariate,Age at Wave I,near_direct_equivalent,1 - import first,general_covariate
IYEAR,YEAR OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,2,Sample alignment,Socioecological model,sample_filter,baseline_covariate,Age at Wave I,near_direct_equivalent,1 - import first,general_covariate
H1CO1,S24Q1 EVER HAVE SEX-W1,haven_labelled,3,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,Ever had sex and age at first sex,direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,haven_labelled,13,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,Ever had sex and age at first sex,near_direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,haven_labelled,16,Sexual initiation,Behavioural risk model,outcome_or_key_behaviour,behavioural_or_health_outcome,Ever had sex and age at first sex,near_direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,haven_labelled,3,Condom use,Health Belief Model / Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,Condom use and intention to use condom,direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,haven_labelled,6,Condom use,Health Belief Model / Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,Condom use and intention to use condom,direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,haven_labelled,3,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,Contraception and birth control,direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,haven_labelled,3,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,Contraception and birth control,direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,haven_labelled,3,Contraceptive use,Theory of Planned Behaviour,protective_behaviour_or_intention,behavioural_or_health_outcome,Contraception and birth control,near_direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,haven_labelled,3,Pregnancy outcome,Behavioural risk / reproductive health,reproductive_health_outcome,behavioural_or_health_outcome,Pregnancy history or pregnancy outcome,direct_equivalent,1 - import first,sensitive_reproductive_health
H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,haven_labelled,5,Pregnancy outcome,Behavioural risk / reproductive health,reproductive_health_outcome,behavioural_or_health_outcome,Pregnancy history or pregnancy outcome,direct_equivalent,1 - import first,sensitive_reproductive_health
H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,haven_labelled,3,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,"HIV, AIDS, STI, STD testing or diagnosis",direct_equivalent,1 - import first,sensitive_hiv_sti
H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,3,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,"HIV, AIDS, STI, STD testing or diagnosis",proxy_equivalent,1 - import first,sensitive_hiv_sti
H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,haven_labelled,3,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,"HIV, AIDS, STI, STD testing or diagnosis",direct_equivalent,1 - import first,sensitive_hiv_sti
H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,haven_labelled,3,HIV/STI outcome,Health Belief Model / reproductive health,health_outcome_or_proxy,behavioural_or_health_outcome,"HIV, AIDS, STI, STD testing or diagnosis",direct_equivalent,1 - import first,sensitive_hiv_sti
H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,7,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,"Condom, contraception and refusal self-efficacy",near_direct_equivalent,1 - import first,general_covariate
H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,7,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,"Condom, contraception and refusal self-efficacy",near_direct_equivalent,1 - import first,general_covariate
H1SE3,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,haven_labelled,7,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,"Condom, contraception and refusal self-efficacy",near_direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,haven_labelled,6,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,planned_behaviour_construct,psychosocial_construct,"Condom, contraception and refusal self-efficacy",near_direct_equivalent,1 - import first,sensitive_sexual_behaviour
H1PF12,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,haven_labelled,6,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,Peer norms and peer sexual behaviour,proxy_equivalent,1 - import first,sensitive_sexual_behaviour
H1PF9,S18Q9 FRIENDS KNOW WITHDRAWAL METHOD-W1,haven_labelled,6,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,Peer norms and peer sexual behaviour,proxy_equivalent,1 - import first,contextual_predictor
H1PF17,S18Q17 FRIENDS KNOW RHYTHM METHOD-W1,haven_labelled,6,Peer norms,Theory of Planned Behaviour / Socioecological model,planned_behaviour_construct,peer_context,Peer norms and peer sexual behaviour,proxy_equivalent,1 - import first,contextual_predictor
H1WP1,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,haven_labelled,3,Family monitoring,Socioecological model,socioecological_family_construct,family_context,Parental monitoring,near_direct_equivalent,1 - import first,contextual_predictor
H1WP2,S16Q2 MAKE OWN DECISION-FRIEND-W1,haven_labelled,3,Family monitoring,Socioecological model,socioecological_family_construct,family_context,Parental monitoring,near_direct_equivalent,1 - import first,contextual_predictor
H1WP8,S16Q8 FREQ-EAT DINNER W/ PARENT-W1,haven_labelled,9,Family monitoring,Socioecological model,socioecological_family_construct,family_context,Parental monitoring,proxy_equivalent,1 - import first,contextual_predictor
H1ED19,S5Q19 FEEL CLOSE TO PEOPLE AT SCHOOL-W1,haven_labelled,6,School connectedness,Socioecological model,socioecological_school_construct,school_context,School connectedness and school climate,direct_equivalent,1 - import first,contextual_predictor
H1ED20,S5Q20 FEEL PART OF YOUR SCHOOL-W1,haven_labelled,6,School connectedness,Socioecological model,socioecological_school_construct,school_context,School connectedness and school climate,direct_equivalent,1 - import first,contextual_predictor
H1ED23,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,haven_labelled,6,School connectedness,Socioecological model,socioecological_school_construct,school_context,School connectedness and school climate,near_direct_equivalent,1 - import first,contextual_predictor
H1ED24,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,haven_labelled,6,School connectedness,Socioecological model,socioecological_school_construct,school_context,School connectedness and school climate,near_direct_equivalent,1 - import first,contextual_predictor
H1PR2,S35Q2 TEACHERS CARE ABOUT YOU-W1,haven_labelled,7,School connectedness,Socioecological model,socioecological_school_construct,school_context,School connectedness and school climate,near_direct_equivalent,1 - import first,contextual_predictor
BIO_SEX,BIOLOGICAL SEX-W1,haven_labelled,3,Demographics,Socioecological model,control_variable,baseline_covariate,Sex or gender,direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,haven_labelled,13,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,Household assets and family socioeconomic status,near_direct_equivalent,2 - import second,general_covariate
H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,haven_labelled,13,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,Household assets and family socioeconomic status,near_direct_equivalent,2 - import second,general_covariate
PA55,A55 TOTAL HOUSEHOLD INCOME-PQ,haven_labelled,151,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,Household assets and family socioeconomic status,near_direct_equivalent,2 - import second,general_covariate
PA21,A21 RECEIVING PUBLIC ASSISTANCE-PQ,haven_labelled,3,Household socioeconomic status,Socioecological model,control_or_index_variable,baseline_covariate,Household assets and family socioeconomic status,proxy_equivalent,2 - import second,general_covariate
H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,3,HIV/AIDS knowledge,Health Belief Model,health_outcome_or_proxy,behavioural_or_health_outcome,HIV/AIDS knowledge and information exposure,proxy_equivalent,2 - import second,sensitive_hiv_sti
H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,6,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived HIV/STI risk,near_direct_equivalent,2 - import second,general_covariate
H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,6,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived HIV/STI risk,near_direct_equivalent,2 - import second,sensitive_hiv_sti
H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,6,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived HIV/STI risk,direct_equivalent,2 - import second,sensitive_reproductive_health
H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,6,Perceived susceptibility,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived HIV/STI risk,direct_equivalent,2 - import second,general_covariate
H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,6,Perceived benefits,Health Belief Model,health_belief_model_construct,psychosocial_construct,Benefits of condom use or prevention,proxy_equivalent,2 - import second,general_covariate
H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,direct_equivalent,2 - import second,general_covariate
H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,direct_equivalent,2 - import second,general_covariate
H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,direct_equivalent,2 - import second,general_covariate
H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,direct_equivalent,2 - import second,general_covariate
H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,near_direct_equivalent,2 - import second,general_covariate
H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,haven_labelled,6,Perceived barriers,Health Belief Model,health_belief_model_construct,psychosocial_construct,Barriers to condom use or prevention,near_direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,haven_labelled,6,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,"Attitudes toward sex, condom and contraception",near_direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,haven_labelled,6,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,"Attitudes toward sex, condom and contraception",near_direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,haven_labelled,6,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,"Attitudes toward sex, condom and contraception",near_direct_equivalent,2 - import second,sensitive_sexual_behaviour
H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,haven_labelled,6,Attitudes,Theory of Planned Behaviour,planned_behaviour_construct,psychosocial_construct,"Attitudes toward sex, condom and contraception",near_direct_equivalent,2 - import second,sensitive_sexual_behaviour
