analysis_role,variable_level,sensitivity_group,n_variables
control_or_index_variable,baseline_covariate,general_covariate,4
control_variable,baseline_covariate,sensitive_sexual_behaviour,1
health_belief_model_construct,psychosocial_construct,general_covariate,8
health_belief_model_construct,psychosocial_construct,sensitive_hiv_sti,2
health_belief_model_construct,psychosocial_construct,sensitive_reproductive_health,7
health_belief_model_construct,psychosocial_construct,sensitive_sexual_behaviour,2
health_outcome_or_proxy,behavioural_or_health_outcome,sensitive_hiv_sti,5
outcome_or_key_behaviour,behavioural_or_health_outcome,sensitive_sexual_behaviour,3
planned_behaviour_construct,peer_context,contextual_predictor,2
planned_behaviour_construct,peer_context,sensitive_sexual_behaviour,1
planned_behaviour_construct,psychosocial_construct,general_covariate,5
planned_behaviour_construct,psychosocial_construct,sensitive_sexual_behaviour,6
protective_behaviour_or_intention,behavioural_or_health_outcome,sensitive_sexual_behaviour,5
reproductive_health_outcome,behavioural_or_health_outcome,sensitive_reproductive_health,2
sample_filter,baseline_covariate,general_covariate,5
sample_filter,derived_sample_alignment,general_covariate,6
socioecological_family_construct,family_context,contextual_predictor,11
socioecological_school_construct,school_context,contextual_predictor,5
