variable_name,variable_label,variable_class,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
H1GI20,S1Q20 GRADE-W1,haven_labelled,6504,167,6337,2.57,97.43,7,TRUE,FALSE,FALSE,FALSE
H1GI1Y,S1Q1 BIRTH YEAR-W1,haven_labelled,6504,3,6501,0.05,99.95,11,TRUE,FALSE,FALSE,FALSE
H1GI1M,S1Q1 BIRTH MONTH-W1,haven_labelled,6504,3,6501,0.05,99.95,13,TRUE,FALSE,FALSE,FALSE
IMONTH,MONTH OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,6504,0,6504,0,100,10,TRUE,FALSE,FALSE,FALSE
IYEAR,YEAR OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,6504,0,6504,0,100,2,TRUE,FALSE,FALSE,FALSE
H1CO1,S24Q1 EVER HAVE SEX-W1,haven_labelled,6504,86,6418,1.32,98.68,3,TRUE,FALSE,FALSE,FALSE
H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,haven_labelled,6504,4128,2376,63.47,36.53,13,TRUE,FALSE,FALSE,FALSE
H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,haven_labelled,6504,4117,2387,63.3,36.7,16,TRUE,FALSE,FALSE,FALSE
H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,haven_labelled,6504,5867,637,90.21,9.79,3,TRUE,FALSE,FALSE,FALSE
H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,haven_labelled,6504,6117,387,94.05,5.95,6,TRUE,FALSE,FALSE,FALSE
H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,haven_labelled,6504,3956,2548,60.82,39.18,3,TRUE,FALSE,FALSE,FALSE
H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,haven_labelled,6504,3971,2533,61.05,38.95,3,TRUE,FALSE,FALSE,FALSE
H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,haven_labelled,6504,5881,623,90.42,9.58,3,TRUE,FALSE,FALSE,FALSE
H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,haven_labelled,6504,5254,1250,80.78,19.22,3,TRUE,FALSE,FALSE,FALSE
H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,haven_labelled,6504,6271,233,96.42,3.58,5,TRUE,FALSE,FALSE,FALSE
H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,haven_labelled,6504,3942,2562,60.61,39.39,3,TRUE,FALSE,FALSE,FALSE
H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,6504,21,6483,0.32,99.68,3,TRUE,FALSE,FALSE,FALSE
H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,haven_labelled,6504,3946,2558,60.67,39.33,3,TRUE,FALSE,FALSE,FALSE
H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,haven_labelled,6504,3943,2561,60.62,39.38,3,TRUE,FALSE,FALSE,FALSE
H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,6504,2161,4343,33.23,66.77,7,TRUE,FALSE,FALSE,FALSE
H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,6504,2134,4370,32.81,67.19,7,TRUE,FALSE,FALSE,FALSE
H1SE3,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,haven_labelled,6504,2134,4370,32.81,67.19,7,TRUE,FALSE,FALSE,FALSE
H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,haven_labelled,6504,209,6295,3.21,96.79,6,TRUE,FALSE,FALSE,FALSE
