sample_name,variable,category,unweighted_n,public_unweighted_n,weighted_n,weighted_pct,public_weighted_pct,disclosure_rule
full_weighted_wave1,stat_grade,Grade 10,1144,1144,3598244.293701903,16.605705178594942,16.61,reported
full_weighted_wave1,stat_grade,Grade 11,1122,1122,3310943.029234289,15.279825192197894,15.28,reported
full_weighted_wave1,stat_grade,Grade 12,993,993,3508801.042620356,16.19292935337515,16.19,reported
full_weighted_wave1,stat_grade,Grade 7,979,979,3814257.98726484,17.60259683381802,17.60,reported
full_weighted_wave1,stat_grade,Grade 8,992,992,3592878.507199836,16.580942360555998,16.58,reported
full_weighted_wave1,stat_grade,Grade 9,1107,1107,3843598.358912625,17.738001081457988,17.74,reported
full_weighted_wave1,stat_age_group,15-19,4476,4476,14651804.431769364,65.8345506277304,65.83,reported
full_weighted_wave1,stat_age_group,<15,1993,1993,7479872.753128881,33.60910690202119,33.61,reported
full_weighted_wave1,stat_age_group,>19,32,32,123816.764805771,0.5563424702484202,0.56,reported
full_weighted_wave1,stat_sex,Male,6503,6503,22260642.916021775,100,100.00,reported
full_weighted_wave1,stat_main_sample,Grade 10-12,3259,3259,10417988.365556547,46.79928289634348,46.80,reported
full_weighted_wave1,stat_main_sample,Other grades,3245,3245,11843011.634446712,53.200717103656515,53.20,reported
full_weighted_wave1,stat_strict_sample,Grade 10-12 and age 15-19,3240,3240,10352033.585756449,46.50300339497297,46.50,reported
full_weighted_wave1,stat_strict_sample,Other,3264,3264,11908966.41424681,53.49699660502702,53.50,reported
full_weighted_wave1,stat_sex_ever,No,3853,3853,13447715.86591979,61.421218158875696,61.42,reported
full_weighted_wave1,stat_sex_ever,Yes,2565,2565,8446535.451491643,38.57878184112432,38.58,reported
full_weighted_wave1,stat_a_H1CO8_yesno,No,248,248,860505.216556193,38.89991840503645,38.90,reported
full_weighted_wave1,stat_a_H1CO8_yesno,Yes,389,389,1351595.095831047,61.100081594963534,61.10,reported
full_weighted_wave1,stat_a_H1CO3_yesno,No,859,859,2933432.48276307,34.93918460706765,34.94,reported
full_weighted_wave1,stat_a_H1CO3_yesno,Yes,1689,1689,5462391.620612491,65.06081539293234,65.06,reported
full_weighted_wave1,stat_a_H1CO6_yesno,No,833,833,2782401.393411022,33.34477314982218,33.34,reported
full_weighted_wave1,stat_a_H1CO6_yesno,Yes,1700,1700,5561939.055118495,66.65522685017783,66.66,reported
full_weighted_wave1,stat_a_H1CO13_yesno,No,176,176,516136.741292854,25.52988883136205,25.53,reported
full_weighted_wave1,stat_a_H1CO13_yesno,Yes,447,447,1505559.258647454,74.47011116863796,74.47,reported
full_weighted_wave1,stat_a_H1FP7_yesno,No,1014,1014,3265877.43611164,81.43107390989074,81.43,reported
