thesis_construct_block,theoretical_model,expected_analytic_use,analysis_role,variable_level,mapping_quality,n_variables_mapped,n_variables_available,n_variables_high_availability,n_variables_moderate_or_high_availability,mean_main_pct_nonmissing,min_main_pct_nonmissing,max_main_pct_nonmissing,preferred_variables,construct_readiness
Attitudes,Theory of Planned Behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,7,7,6,7,92.4,66.06,98.19,num_H1MO1; num_H1MO2; num_H1MO3; num_H1MO5; num_H1PA3; num_H1PA6; num_H1PA7,candidate_for_scale_or_index_review
Family monitoring,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,near_direct_equivalent,2,2,2,2,96.75,96.69,96.81,num_H1WP1; num_H1WP2,candidate_for_scale_or_index_review
Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,direct_equivalent,4,4,4,4,99.67,99.66,99.69,num_H1PR3; num_H1PR5; num_H1PR7; num_H1PR8,candidate_for_scale_or_index_review
Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,near_direct_equivalent,4,4,2,4,81.93,70.54,93.31,num_H1WP10; num_H1WP13; num_H1WP14; num_H1WP9,candidate_for_scale_or_index_review
Household socioeconomic status,Socioecological model,Control or stratification,control_or_index_variable,baseline_covariate,near_direct_equivalent,3,3,1,3,78.65,70.17,93.03,num_H1RF1; num_H1RM1; num_PA55,candidate_for_scale_or_index_review
Peer norms,Theory of Planned Behaviour / Socioecological model,Theory of Planned Behaviour construct,planned_behaviour_construct,peer_context,proxy_equivalent,3,3,3,3,96.52,95.92,97.18,num_H1PF12; num_H1PF17; num_H1PF9,candidate_for_scale_or_index_review
Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,5,5,5,5,98.12,97.61,98.44,num_H1BC1; num_H1BC2; num_H1BC3; num_H1BC4; num_H1BC5,candidate_for_scale_or_index_review
Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,2,2,2,2,98.33,98.01,98.65,num_H1BC7; num_H1BC8,candidate_for_scale_or_index_review
Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,6,6,6,6,97.83,97.51,98.07,num_H1MO10; num_H1MO11; num_H1MO12; num_H1MO13; num_H1MO14; num_H1MO9,candidate_for_scale_or_index_review
Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,2,2,2,2,98.69,98.62,98.77,num_H1RP5; num_H1RP6,candidate_for_scale_or_index_review
Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,2,2,2,2,99.58,99.57,99.6,num_H1GH44; num_H1GH46,candidate_for_scale_or_index_review
Sample alignment,Socioecological model,Sample restriction,sample_filter,baseline_covariate,near_direct_equivalent,4,4,4,4,100,100,100,num_H1GI1M; num_H1GI1Y; num_IMONTH; num_IYEAR,candidate_for_scale_or_index_review
School connectedness,Socioecological model,Socioecological predictor or mediator,socioecological_school_construct,school_context,direct_equivalent,2,2,2,2,99.88,99.85,99.91,num_H1ED19; num_H1ED20,candidate_for_scale_or_index_review
School connectedness,Socioecological model,Socioecological predictor or mediator,socioecological_school_construct,school_context,near_direct_equivalent,3,3,3,3,99.84,99.69,99.91,num_H1ED23; num_H1ED24; num_H1PR2,candidate_for_scale_or_index_review
