variable,variable_label,variable_class,variable_role,main_n_total,main_n_missing,main_n_nonmissing,main_pct_missing,main_pct_nonmissing,main_weighted_pct_nonmissing,main_n_unique_nonmissing,main_is_binary_01,main_availability_class,strict_n_total,strict_n_missing,strict_n_nonmissing,strict_pct_missing,strict_pct_nonmissing,strict_weighted_pct_nonmissing,strict_availability_class,preliminary_modeling_decision,final_decision,final_role,reviewer_note
a_H1HS9_yesno,NA,integer,candidate_binary_recode,3259,4,3255,0.12,99.88,99.89,2,TRUE,high_availability,3240,3,3237,0.09,99.91,99.91,high_availability,candidate_for_modeling,,,
a_H1CO13_yesno,NA,integer,candidate_binary_recode,3259,2778,481,85.24,14.76,14.64,2,TRUE,not_recommended_high_missingness,3240,2762,478,85.25,14.75,14.65,not_recommended_high_missingness,exclude_high_missingness,,,
a_H1CO8_yesno,NA,integer,candidate_binary_recode,3259,2857,402,87.66,12.34,12.5,2,TRUE,not_recommended_high_missingness,3240,2842,398,87.72,12.28,12.48,not_recommended_high_missingness,exclude_high_missingness,,,
a_H1FP7_yesno,NA,integer,candidate_binary_recode,3259,2363,896,72.51,27.49,27.09,2,TRUE,not_recommended_high_missingness,3240,2348,892,72.47,27.53,27.16,not_recommended_high_missingness,exclude_high_missingness,,,
a_H1CO9_yesno,NA,integer,candidate_binary_recode,3259,3259,0,100,0,0,0,FALSE,not_recommended_too_few_cases,3240,3240,0,100,0,0,not_recommended_too_few_cases,exclude_too_few_cases,,,
a_H1FP8_yesno,NA,integer,candidate_binary_recode,3259,3259,0,100,0,0,0,FALSE,not_recommended_too_few_cases,3240,3240,0,100,0,0,not_recommended_too_few_cases,exclude_too_few_cases,,,
a_H1CO16A_yesno,NA,integer,candidate_binary_recode,3259,1496,1763,45.9,54.1,53.8,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.85,limited_availability_review_required,review_before_modeling,,,
a_H1CO16C_yesno,NA,integer,candidate_binary_recode,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
a_H1CO16D_yesno,NA,integer,candidate_binary_recode,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
a_H1CO3_yesno,NA,integer,candidate_binary_recode,3259,1503,1756,46.12,53.88,53.58,2,TRUE,limited_availability_review_required,3240,1494,1746,46.11,53.89,53.62,limited_availability_review_required,review_before_modeling,,,
a_H1CO6_yesno,NA,integer,candidate_binary_recode,3259,1510,1749,46.33,53.67,53.38,2,TRUE,limited_availability_review_required,3240,1502,1738,46.36,53.64,53.39,limited_availability_review_required,review_before_modeling,,,
a_sex_ever,NA,integer,candidate_outcome,3259,33,3226,1.01,98.99,98.7,2,TRUE,high_availability,3240,32,3208,0.99,99.01,98.7,high_availability,candidate_for_modeling,,,
a_age_wave1,NA,numeric,core_covariate,3259,0,3259,0,100,100,8,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
a_female,NA,integer,core_covariate,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
a_grade_wave1,NA,numeric,core_covariate,3259,0,3259,0,100,100,3,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_BIO_SEX,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,2,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_H1BC1,NA,numeric,numeric_cleaned_item,3259,51,3208,1.56,98.44,98.1,5,FALSE,high_availability,3240,47,3193,1.45,98.55,98.26,high_availability,candidate_for_modeling,,,
num_H1BC2,NA,numeric,numeric_cleaned_item,3259,62,3197,1.9,98.1,97.82,5,FALSE,high_availability,3240,58,3182,1.79,98.21,97.97,high_availability,candidate_for_modeling,,,
num_H1BC3,NA,numeric,numeric_cleaned_item,3259,54,3205,1.66,98.34,98.1,5,FALSE,high_availability,3240,49,3191,1.51,98.49,98.3,high_availability,candidate_for_modeling,,,
num_H1BC4,NA,numeric,numeric_cleaned_item,3259,62,3197,1.9,98.1,97.83,5,FALSE,high_availability,3240,58,3182,1.79,98.21,97.99,high_availability,candidate_for_modeling,,,
