sample_name,variable,n_nonmissing,n_yes,n_no,weighted_pct_yes,weighted_pct_no,public_n_nonmissing,public_n_yes,public_n_no,outcome_cell_status
full_weighted_wave1,a_sex_ever,6418,2565,3853,38.57878184112432,61.421218158875696,6418,2565,3853,usable
main_grade_10_12,a_sex_ever,3226,1766,1460,54.594055120923116,45.40594487907688,3226,1766,1460,usable
strict_grade_10_12_age_15_19,a_sex_ever,3208,1755,1453,54.60520870105166,45.39479129894834,3208,1755,1453,usable
full_weighted_wave1,a_H1CO8_yesno,637,389,248,61.100081594963534,38.89991840503645,637,389,248,usable
main_grade_10_12,a_H1CO8_yesno,402,247,155,63.38500625931003,36.61499374068997,402,247,155,usable
strict_grade_10_12_age_15_19,a_H1CO8_yesno,398,244,154,63.367335939552056,36.632664060447944,398,244,154,usable
full_weighted_wave1,a_H1CO9_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
main_grade_10_12,a_H1CO9_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
strict_grade_10_12_age_15_19,a_H1CO9_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
full_weighted_wave1,a_H1CO3_yesno,2548,1689,859,65.06081539293234,34.93918460706765,2548,1689,859,usable
main_grade_10_12,a_H1CO3_yesno,1756,1200,556,68.57454627156793,31.425453728432075,1756,1200,556,usable
strict_grade_10_12_age_15_19,a_H1CO3_yesno,1746,1196,550,68.77794427478028,31.222055725219718,1746,1196,550,usable
full_weighted_wave1,a_H1CO6_yesno,2533,1700,833,66.65522685017783,33.34477314982218,2533,1700,833,usable
main_grade_10_12,a_H1CO6_yesno,1749,1203,546,69.0345058150734,30.965494184926605,1749,1203,546,usable
strict_grade_10_12_age_15_19,a_H1CO6_yesno,1738,1197,541,69.1378569732184,30.862143026781595,1738,1197,541,usable
full_weighted_wave1,a_H1CO13_yesno,623,447,176,74.47011116863796,25.52988883136205,623,447,176,usable
main_grade_10_12,a_H1CO13_yesno,481,363,118,77.15598536211316,22.844014637886843,481,363,118,usable
strict_grade_10_12_age_15_19,a_H1CO13_yesno,478,360,118,77.01727914429814,22.98272085570185,478,360,118,usable
full_weighted_wave1,a_H1FP7_yesno,1250,236,1014,18.56892609010926,81.43107390989074,1250,236,1014,usable
main_grade_10_12,a_H1FP7_yesno,896,163,733,17.880947719904647,82.11905228009536,896,163,733,usable
strict_grade_10_12_age_15_19,a_H1FP7_yesno,892,161,731,17.712761967407506,82.2872380325925,892,161,731,usable
full_weighted_wave1,a_H1FP8_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
main_grade_10_12,a_H1FP8_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
strict_grade_10_12_age_15_19,a_H1FP8_yesno,0,0,0,NA,NA,<10,<10,<10,not_recommended_too_few_cases
full_weighted_wave1,a_H1CO16D_yesno,2562,5,2557,0.22260068573690173,99.77739931426309,2562,<10,2557,review_small_outcome_cell
main_grade_10_12,a_H1CO16D_yesno,1764,1,1763,0.04442912871302292,99.95557087128697,1764,<10,1763,review_small_outcome_cell
strict_grade_10_12_age_15_19,a_H1CO16D_yesno,1753,1,1752,0.04470014236230296,99.9552998576377,1753,<10,1752,review_small_outcome_cell
full_weighted_wave1,a_H1HS9_yesno,6483,364,6119,5.353826111905739,94.64617388809425,6483,364,6119,usable
main_grade_10_12,a_H1HS9_yesno,3255,232,3023,6.703622885535178,93.29637711446482,3255,232,3023,usable
strict_grade_10_12_age_15_19,a_H1HS9_yesno,3237,229,3008,6.642353288530319,93.35764671146968,3237,229,3008,usable
full_weighted_wave1,a_H1CO16A_yesno,2558,88,2470,3.129072469244342,96.87092753075565,2558,88,2470,usable
main_grade_10_12,a_H1CO16A_yesno,1763,59,1704,3.0869602691925566,96.91303973080745,1763,59,1704,usable
strict_grade_10_12_age_15_19,a_H1CO16A_yesno,1753,58,1695,3.019930703864573,96.98006929613544,1753,58,1695,usable
full_weighted_wave1,a_H1CO16C_yesno,2561,36,2525,1.2547243058156532,98.74527569418434,2561,36,2525,usable
main_grade_10_12,a_H1CO16C_yesno,1764,25,1739,1.1834246178311554,98.81657538216886,1764,25,1739,usable
strict_grade_10_12_age_15_19,a_H1CO16C_yesno,1753,25,1728,1.1906434004995683,98.80935659950043,1753,25,1728,usable
