sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,H1GI20,S1Q20 GRADE-W1,haven_labelled,original_imported_variable,6504,167,6337,2.57,97.43,2.66,97.34,6,FALSE,6337,high_availability
full_weighted_wave1,H1GI1Y,S1Q1 BIRTH YEAR-W1,haven_labelled,original_imported_variable,6504,3,6501,0.05,99.95,0.02,99.98,10,FALSE,6501,high_availability
full_weighted_wave1,H1GI1M,S1Q1 BIRTH MONTH-W1,haven_labelled,original_imported_variable,6504,3,6501,0.05,99.95,0.02,99.98,12,FALSE,6501,high_availability
full_weighted_wave1,IMONTH,MONTH OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,original_imported_variable,6504,0,6504,0,100,-0,100,10,FALSE,6504,high_availability
full_weighted_wave1,IYEAR,YEAR OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,original_imported_variable,6504,0,6504,0,100,-0,100,2,FALSE,6504,high_availability
full_weighted_wave1,H1CO1,S24Q1 EVER HAVE SEX-W1,haven_labelled,original_imported_variable,6504,86,6418,1.32,98.68,1.65,98.35,2,TRUE,6418,high_availability
full_weighted_wave1,H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,haven_labelled,original_imported_variable,6504,4128,2376,63.47,36.53,64.77,35.23,12,FALSE,2376,not_recommended_high_missingness
full_weighted_wave1,H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,haven_labelled,original_imported_variable,6504,4117,2387,63.3,36.7,64.63,35.37,15,FALSE,2387,not_recommended_high_missingness
full_weighted_wave1,H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,haven_labelled,original_imported_variable,6504,5867,637,90.21,9.79,90.06,9.94,2,TRUE,637,not_recommended_high_missingness
full_weighted_wave1,H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,haven_labelled,original_imported_variable,6504,6117,387,94.05,5.95,93.97,6.03,5,FALSE,387,not_recommended_high_missingness
full_weighted_wave1,H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,haven_labelled,original_imported_variable,6504,3956,2548,60.82,39.18,62.28,37.72,2,TRUE,2548,not_recommended_high_missingness
full_weighted_wave1,H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,haven_labelled,original_imported_variable,6504,3971,2533,61.05,38.95,62.52,37.48,2,TRUE,2533,not_recommended_high_missingness
full_weighted_wave1,H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,haven_labelled,original_imported_variable,6504,5881,623,90.42,9.58,90.92,9.08,2,TRUE,623,not_recommended_high_missingness
full_weighted_wave1,H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,haven_labelled,original_imported_variable,6504,5254,1250,80.78,19.22,81.98,18.02,2,TRUE,1250,not_recommended_high_missingness
full_weighted_wave1,H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,haven_labelled,original_imported_variable,6504,6271,233,96.42,3.58,96.7,3.3,4,FALSE,233,not_recommended_high_missingness
full_weighted_wave1,H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,haven_labelled,original_imported_variable,6504,3942,2562,60.61,39.39,62.1,37.9,2,TRUE,2562,not_recommended_high_missingness
full_weighted_wave1,H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,original_imported_variable,6504,21,6483,0.32,99.68,0.33,99.67,2,TRUE,6483,high_availability
full_weighted_wave1,H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,haven_labelled,original_imported_variable,6504,3946,2558,60.67,39.33,62.18,37.82,2,TRUE,2558,not_recommended_high_missingness
full_weighted_wave1,H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,haven_labelled,original_imported_variable,6504,3943,2561,60.62,39.38,62.12,37.88,2,TRUE,2561,not_recommended_high_missingness
full_weighted_wave1,H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,original_imported_variable,6504,2161,4343,33.23,66.77,36.26,63.74,6,FALSE,4343,moderate_availability
full_weighted_wave1,H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,original_imported_variable,6504,2134,4370,32.81,67.19,35.84,64.16,6,FALSE,4370,moderate_availability
