sample_name,outcome,predictor,predictor_type,test_family,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,n_predictor_levels,weighted_pct_outcome_yes_overall,effect_measure,effect_value,weighted_mean_predictor_yes,weighted_mean_predictor_no,p_value,test_status,p_value_bh,preliminary_bivariate_decision,effect_abs,outcome_label,preliminary_outcome_decision,predictor_label,predictor_type_main,predictor_role,preliminary_modeling_decision
main_grade_10_12,a_H1CO13_yesno,num_H1SE2,categorical,binary_outcome_by_categorical_predictor,479,479,362,117,6,77.17245640128894,range_weighted_pct_yes_across_predictor_categories,83.49271152019493,NA,NA,2.1256107683021664e-4,rao_scott_chisq_completed,0.013603908917133865,candidate_association_after_bh_adjustment,83.49271152019493,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC7,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,52.389269740109356,NA,NA,0.00786743716436824,rao_scott_chisq_completed,0.2066404923753571,candidate_association_unadjusted_only,52.389269740109356,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PA3,categorical,binary_outcome_by_categorical_predictor,413,413,305,108,5,75.63936440075554,range_weighted_pct_yes_across_predictor_categories,35.20073531049924,NA,NA,0.009686273080094863,rao_scott_chisq_completed,0.2066404923753571,candidate_association_unadjusted_only,35.20073531049924,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1SE3,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,6,77.11734315548674,range_weighted_pct_yes_across_predictor_categories,80.61428607966248,NA,NA,0.01816517998267164,rao_scott_chisq_completed,0.2906428797227462,candidate_association_unadjusted_only,80.61428607966248,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO2,categorical,binary_outcome_by_categorical_predictor,458,458,344,114,5,76.84770026352133,range_weighted_pct_yes_across_predictor_categories,54.47196074531979,NA,NA,0.024506125257882577,rao_scott_chisq_completed,0.313678403300897,candidate_association_unadjusted_only,54.47196074531979,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1SE1,categorical,binary_outcome_by_categorical_predictor,477,477,360,117,6,77.08284419243435,range_weighted_pct_yes_across_predictor_categories,55.32148573964629,NA,NA,0.035565866849683395,rao_scott_chisq_completed,0.340846448395238,candidate_association_unadjusted_only,55.32148573964629,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP13,categorical,binary_outcome_by_categorical_predictor,268,268,205,63,5,77.86145252727735,range_weighted_pct_yes_across_predictor_categories,42.23650404461258,NA,NA,0.037280080293229156,rao_scott_chisq_completed,0.340846448395238,candidate_association_unadjusted_only,42.23650404461258,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PF12,categorical,binary_outcome_by_categorical_predictor,476,476,359,117,5,77.11700458785315,range_weighted_pct_yes_across_predictor_categories,70.4725150772925,NA,NA,0.04423191388623969,rao_scott_chisq_completed,0.3538553110899175,candidate_association_unadjusted_only,70.4725150772925,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP9,categorical,binary_outcome_by_categorical_predictor,420,420,312,108,5,76.04539221144648,range_weighted_pct_yes_across_predictor_categories,41.98901284494995,NA,NA,0.056450554725214555,rao_scott_chisq_completed,0.36800972343459815,no_bivariate_evidence,41.98901284494995,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC5,categorical,binary_outcome_by_categorical_predictor,480,480,363,117,5,77.40651692385764,range_weighted_pct_yes_across_predictor_categories,24.45109641945141,NA,NA,0.05750151928665596,rao_scott_chisq_completed,0.36800972343459815,no_bivariate_evidence,24.45109641945141,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
