sample_name,outcome,predictor,predictor_category,unweighted_n,public_unweighted_n,unweighted_yes,unweighted_no,weighted_total,weighted_pct_yes,public_weighted_pct_yes,disclosure_status
main_grade_10_12,a_H1CO13_yesno,a_female,0,481,481,363,118,1525590.891950221,77.15598536211316,77.16,reported
main_grade_10_12,a_H1CO13_yesno,a_grade_wave1,10,105,105,74,31,337679.685179075,72.4920797776102,72.49,reported
main_grade_10_12,a_H1CO13_yesno,a_grade_wave1,11,165,165,125,40,495403.840855524,77.48382974312922,77.48,reported
main_grade_10_12,a_H1CO13_yesno,a_grade_wave1,12,211,211,164,47,692507.365915622,79.19566157848676,79.20,reported
main_grade_10_12,a_H1CO13_yesno,derived_age_15_19_flag,FALSE,3,<10,3,0,9207.3059532,100,suppressed,suppressed_small_category
main_grade_10_12,a_H1CO13_yesno,derived_age_15_19_flag,TRUE,478,478,360,118,1516383.585997021,77.01727914429814,77.02,reported
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,14,1,<10,1,0,2576.282941037,100,suppressed,suppressed_small_category
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,15,20,20,11,9,66764.727547001,65.4114817331456,65.41,review_small_outcome_cell
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,16,99,99,73,26,312100.532441581,76.8998052618914,76.90,reported
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,17,164,164,127,37,500293.921177999,79.44668699056204,79.45,reported
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,18,181,181,140,41,590121.923409386,77.2118036659634,77.21,reported
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,19,14,14,9,5,47102.481421054,66.00534127167712,66.01,review_small_outcome_cell
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,20,2,<10,2,0,6631.023012163,100,suppressed,suppressed_small_category
main_grade_10_12,a_H1CO13_yesno,derived_grade_10_12_flag,TRUE,481,481,363,118,1525590.891950221,77.15598536211316,77.16,reported
main_grade_10_12,a_H1CO13_yesno,derived_grade_wave1,10,105,105,74,31,337679.685179075,72.4920797776102,72.49,reported
main_grade_10_12,a_H1CO13_yesno,derived_grade_wave1,11,165,165,125,40,495403.840855524,77.48382974312922,77.48,reported
