sample_name,preliminary_bivariate_decision,test_family,n_tests
main_grade_10_12,candidate_association_after_bh_adjustment,binary_outcome_by_categorical_predictor,166
main_grade_10_12,candidate_association_after_bh_adjustment,binary_outcome_by_continuous_predictor,14
main_grade_10_12,candidate_association_unadjusted_only,binary_outcome_by_categorical_predictor,52
main_grade_10_12,candidate_association_unadjusted_only,binary_outcome_by_continuous_predictor,2
main_grade_10_12,insufficient_outcome_cell_size,binary_outcome_by_categorical_predictor,2
main_grade_10_12,insufficient_outcome_cell_size,binary_outcome_by_continuous_predictor,1
main_grade_10_12,no_bivariate_evidence,binary_outcome_by_categorical_predictor,320
main_grade_10_12,no_bivariate_evidence,binary_outcome_by_continuous_predictor,28
main_grade_10_12,test_not_available,binary_outcome_by_categorical_predictor,45
strict_grade_10_12_age_15_19,candidate_association_after_bh_adjustment,binary_outcome_by_categorical_predictor,170
strict_grade_10_12_age_15_19,candidate_association_after_bh_adjustment,binary_outcome_by_continuous_predictor,14
strict_grade_10_12_age_15_19,candidate_association_unadjusted_only,binary_outcome_by_categorical_predictor,40
strict_grade_10_12_age_15_19,candidate_association_unadjusted_only,binary_outcome_by_continuous_predictor,2
strict_grade_10_12_age_15_19,insufficient_outcome_cell_size,binary_outcome_by_categorical_predictor,2
strict_grade_10_12_age_15_19,insufficient_outcome_cell_size,binary_outcome_by_continuous_predictor,1
strict_grade_10_12_age_15_19,no_bivariate_evidence,binary_outcome_by_categorical_predictor,310
strict_grade_10_12_age_15_19,no_bivariate_evidence,binary_outcome_by_continuous_predictor,28
strict_grade_10_12_age_15_19,test_not_available,binary_outcome_by_categorical_predictor,63
