sample_name,outcome,n_predictors_screened,n_bh_adjusted_candidates,n_unadjusted_candidates,n_no_bivariate_evidence,n_not_tested_or_insufficient
main_grade_10_12,a_H1CO13_yesno,70,1,7,56,6
main_grade_10_12,a_H1CO16A_yesno,70,6,6,53,5
main_grade_10_12,a_H1CO16C_yesno,70,3,7,52,8
main_grade_10_12,a_H1CO3_yesno,70,26,7,32,5
main_grade_10_12,a_H1CO6_yesno,70,28,6,31,5
main_grade_10_12,a_H1CO8_yesno,70,0,10,55,5
main_grade_10_12,a_H1FP7_yesno,70,22,7,35,6
main_grade_10_12,a_H1HS9_yesno,70,39,4,23,4
main_grade_10_12,a_sex_ever,70,55,0,11,4
strict_grade_10_12_age_15_19,a_H1CO13_yesno,70,1,7,54,8
strict_grade_10_12_age_15_19,a_H1CO16A_yesno,70,6,6,51,7
strict_grade_10_12_age_15_19,a_H1CO16C_yesno,70,3,7,50,10
strict_grade_10_12_age_15_19,a_H1CO3_yesno,70,27,2,34,7
strict_grade_10_12_age_15_19,a_H1CO6_yesno,70,31,2,30,7
strict_grade_10_12_age_15_19,a_H1CO8_yesno,70,0,11,52,7
strict_grade_10_12_age_15_19,a_H1FP7_yesno,70,22,5,35,8
strict_grade_10_12_age_15_19,a_H1HS9_yesno,70,39,2,23,6
strict_grade_10_12_age_15_19,a_sex_ever,70,55,0,9,6
