predictor,predictor_label,predictor_type_main,predictor_role,preliminary_modeling_decision
a_age_wave1,NA,continuous,core_covariate,candidate_for_modeling
a_female,NA,binary,core_covariate,candidate_for_modeling
a_grade_wave1,NA,categorical,core_covariate,candidate_for_modeling
num_BIO_SEX,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC1,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC2,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC4,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC5,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC6,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC7,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1BC8,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1CO1,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1ED19,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1ED20,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1ED23,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1ED24,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1GH44,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1GH46,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1GI1M,NA,continuous,numeric_cleaned_item,candidate_for_modeling
num_H1GI1Y,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1GI20,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1HS9,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1MO1,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO10,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO11,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO12,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO13,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO14,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO2,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO5,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1MO9,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PA3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PA7,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1PF12,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PF17,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PF6,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PF9,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PR2,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PR3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PR5,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PR7,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1PR8,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1RF1,NA,continuous,numeric_cleaned_item,candidate_for_modeling
num_H1RM1,NA,continuous,numeric_cleaned_item,candidate_for_modeling
num_H1RP3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1RP5,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1RP6,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1SE1,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1SE2,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1SE3,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1TS8,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1WP1,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1WP10,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1WP13,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1WP14,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1WP2,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_H1WP8,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_H1WP9,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_IMONTH,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_IYEAR,NA,categorical,numeric_cleaned_item,candidate_for_modeling
num_PA21,NA,binary,numeric_cleaned_item,candidate_for_modeling
num_PA55,NA,continuous,numeric_cleaned_item,candidate_for_modeling
derived_age_15_19_flag,NA,binary,script05_derived_variable,candidate_for_modeling
derived_age_wave1,NA,categorical,script05_derived_variable,candidate_for_modeling
derived_grade_10_12_flag,NA,binary,script05_derived_variable,candidate_for_modeling
derived_grade_wave1,NA,categorical,script05_derived_variable,candidate_for_modeling
derived_main_sample_flag,NA,binary,script05_derived_variable,candidate_for_modeling
derived_strict_sample_flag,NA,binary,script05_derived_variable,candidate_for_modeling
