variable,original_item,variable_label,variable_class,variable_role_basic,is_binary_01,n_unique_nonmissing,thesis_construct_block,theoretical_model,expected_analytic_use,analysis_role,variable_level,mapping_quality,dictionary_row_id,priority_id,thesis_item_codes,add_health_target_domain,equivalence_strategy,expected_wave_priority,add_health_wave,requested_variable_name,sav_variable_name,available_in_sav,import_decision,add_health_variable_label,public_use_status,final_decision,import_priority,reviewer_notes,theoretical_block,predictor_use_group,main_n_total,main_n_nonmissing,main_pct_nonmissing,main_weighted_pct_nonmissing,main_n_unique_nonmissing,main_is_binary_01,main_availability_class,preliminary_modeling_decision,recommended_general_role,reviewer_note
H1MO9,H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,72,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO9,H1MO9,TRUE,import,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,family_household_context,family_block_predictor,3259,3190,97.88,97.48,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PR3,H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,haven_labelled,original_imported_variable,FALSE,6,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,direct_equivalent,63,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1PR3,H1PR3,TRUE,import,S35Q3 PARENTS CARE ABOUT YOU-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,3249,99.69,99.62,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PR5,H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,haven_labelled,original_imported_variable,FALSE,6,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,direct_equivalent,64,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1PR5,H1PR5,TRUE,import,S35Q5 FAMILY UNDERSTAND YOU-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,3248,99.66,99.59,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PR7,H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,haven_labelled,original_imported_variable,FALSE,6,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,direct_equivalent,65,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1PR7,H1PR7,TRUE,import,S35Q7 FAMIYL HAS FUN TOGETHER-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,3248,99.66,99.56,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PR8,H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,haven_labelled,original_imported_variable,FALSE,6,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,direct_equivalent,66,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1PR8,H1PR8,TRUE,import,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,3248,99.66,99.56,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1RF1,H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,FALSE,12,Household socioeconomic status,Socioecological model,Control or stratification,control_or_index_variable,baseline_covariate,near_direct_equivalent,37,4,AFL1-AFL4,Household assets and family socioeconomic status,Proxy or index construction,Wave I,Wave I,H1RF1,H1RF1,TRUE,import,S15Q1 RES DAD-EDUCATION LEVEL-W1,public_use_confirmed,,2 - import second,"Educação do pai residente; componente SES, com mais missing.",family_household_context,family_block_predictor,3259,2287,70.17,72.17,12,FALSE,moderate_availability,candidate_for_modeling,eligible_predictor_block,
H1RM1,H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,FALSE,12,Household socioeconomic status,Socioecological model,Control or stratification,control_or_index_variable,baseline_covariate,near_direct_equivalent,36,4,AFL1-AFL4,Household assets and family socioeconomic status,Proxy or index construction,Wave I,Wave I,H1RM1,H1RM1,TRUE,import,S14Q1 RES MOM-EDUCATION LEVEL-W1,public_use_confirmed,,2 - import second,Educação da mãe residente; componente SES.,family_household_context,family_block_predictor,3259,3032,93.03,92.79,12,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1WP1,H1WP1,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,haven_labelled,original_imported_variable,TRUE,2,Family monitoring,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,near_direct_equivalent,27,19,LFA1-LFA2,Parental monitoring,Construct-level equivalence likely,Wave I,Wave I,H1WP1,H1WP1,TRUE,import,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,public_use_confirmed,,1 - import first,Decisão própria sobre hora de recolher no fim de semana; maior autonomia pode indicar menor monitoria parental.,family_household_context,family_block_predictor,3259,3151,96.69,96.37,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1WP10,H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,original_imported_variable,FALSE,5,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,near_direct_equivalent,68,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1WP10,H1WP10,TRUE,import,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,3041,93.31,93.13,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1WP13,H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,original_imported_variable,FALSE,5,Family support,Socioecological model,Socioecological predictor or mediator,socioecological_family_construct,family_context,near_direct_equivalent,69,20,LFA3,Family support or connectedness,Construct-level equivalence likely,Wave I,Wave I,H1WP13,H1WP13,TRUE,import,S16Q13 CLOSE TO DAD-W1,public_use_confirmed,,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.,family_household_context,family_block_predictor,3259,2299,70.54,72.54,5,FALSE,moderate_availability,candidate_for_modeling,eligible_predictor_block,
