variable,original_item,variable_label,variable_role_basic,theoretical_block,predictor_use_group,main_n_nonmissing,main_pct_nonmissing,preliminary_modeling_decision,recommended_general_role,final_decision,reviewer_note
H1CO9,H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,246,7.55,exclude_high_missingness,exclude_from_modeling,,
H1FP7,H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,896,27.49,exclude_high_missingness,exclude_from_modeling,,
H1FP8,H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,161,4.94,exclude_high_missingness,exclude_from_modeling,,
a_H1CO8_yesno,H1CO8,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,402,12.34,exclude_high_missingness,exclude_from_modeling,,
a_H1CO9_yesno,H1CO9,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,0,0,exclude_too_few_cases,exclude_from_modeling,,
a_H1FP7_yesno,H1FP7,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,896,27.49,exclude_high_missingness,exclude_from_modeling,,
a_H1FP8_yesno,H1FP8,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,0,0,exclude_too_few_cases,exclude_from_modeling,,
num_H1CO8,H1CO8,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,402,12.34,exclude_high_missingness,exclude_from_modeling,,
num_H1CO9,H1CO9,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,246,7.55,exclude_high_missingness,exclude_from_modeling,,
num_H1FP7,H1FP7,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,896,27.49,exclude_high_missingness,exclude_from_modeling,,
num_H1FP8,H1FP8,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,161,4.94,exclude_high_missingness,exclude_from_modeling,,
H1CO16A,H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1763,54.1,review_before_modeling,review,,
H1CO16C,H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
H1CO16D,H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
H1PA6,H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,original_imported_variable,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,2153,66.06,review_before_modeling,review,,
a_H1CO16A_yesno,H1CO16A,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1763,54.1,review_before_modeling,review,,
a_H1CO16C_yesno,H1CO16C,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
a_H1CO16D_yesno,H1CO16D,NA,candidate_binary_recode,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
num_H1CO16A,H1CO16A,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1763,54.1,review_before_modeling,review,,
num_H1CO16C,H1CO16C,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
num_H1CO16D,H1CO16D,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,1764,54.13,review_before_modeling,review,,
num_H1PA6,H1PA6,NA,numeric_cleaned_item,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,2153,66.06,review_before_modeling,review,,
H1GI1M,H1GI1M,S1Q1 BIRTH MONTH-W1,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
H1GI1Y,H1GI1Y,S1Q1 BIRTH YEAR-W1,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
IMONTH,IMONTH,MONTH OF INTERVIEW-W1,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
IYEAR,IYEAR,YEAR OF INTERVIEW-W1,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
derived_main_sample_flag,derived_main_sample_flag,NA,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
derived_strict_sample_flag,derived_strict_sample_flag,NA,original_imported_variable,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
num_H1GI1M,H1GI1M,NA,numeric_cleaned_item,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
num_H1GI1Y,H1GI1Y,NA,numeric_cleaned_item,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
num_H1GI20,H1GI20,NA,numeric_cleaned_item,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
num_IMONTH,IMONTH,NA,numeric_cleaned_item,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
num_IYEAR,IYEAR,NA,numeric_cleaned_item,other_review_required,other_predictor_review,3259,100,candidate_for_modeling,review,,
a_main_sample_grade_10_12,main_sample_grade_10_12,NA,sample_definition_variable,sample_definition,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
a_sample_age_15_19,sample_age_15_19,NA,sample_definition_variable,sample_definition,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
a_sample_grade_10_12,sample_grade_10_12,NA,sample_definition_variable,sample_definition,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
a_strict_sample_grade_age,strict_sample_grade_age,NA,sample_definition_variable,sample_definition,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
CLUSTER2,CLUSTER2,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,2379,73,support_variable_not_model_predictor,support_variable_not_predictor,,
GSWGT1,GSWGT1,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
SCHWT1,SCHWT1,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,2379,73,support_variable_not_model_predictor,support_variable_not_predictor,,
valid_cluster2,valid_cluster2,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
valid_gswgt1,valid_gswgt1,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
valid_schwt1,valid_schwt1,NA,weight_or_design_variable,weight_design,support_variable_not_predictor,3259,100,support_variable_not_model_predictor,support_variable_not_predictor,,
