theoretical_block,predictor_use_group,recommended_general_role,n_variables,n_candidate_for_modeling,mean_main_pct_nonmissing
core_sociodemographic_controls,mandatory_core_control,mandatory_control_in_all_models,3,3,100
family_household_context,family_block_predictor,eligible_predictor_block,31,31,89.32
knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,eligible_predictor_block,57,57,98.21
knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,exclude_from_modeling,11,0,12.01
knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,review,11,0,56.29
other_review_required,other_predictor_review,review,11,11,100
peers_relationship_context,peer_relationship_block_predictor,eligible_predictor_block,5,5,96.39
sample_definition,support_variable_not_predictor,support_variable_not_predictor,4,0,100
school_educational_context,school_block_predictor,eligible_predictor_block,10,10,99.85
sociodemographic_controls,optional_sociodemographic_control,optional_control_review,30,16,72.23
weight_design,support_variable_not_predictor,support_variable_not_predictor,6,0,91
