sample_name,model_stage,n_models,n_fitted,n_skipped,n_failed,mean_n_complete
main_grade_10_12,M0_core_controls,9,9,0,0,1699.11
main_grade_10_12,M1_family_context,9,9,0,0,1171.44
main_grade_10_12,M2_school_context,9,4,5,0,2492.75
main_grade_10_12,M3_knowledge_attitudes,9,9,0,0,1623.67
main_grade_10_12,M4_peers_relationships,9,5,4,0,1860.4
main_grade_10_12,M5_general_risk_behaviors,9,0,9,0,NA
main_grade_10_12,M6_final_parsimonious_model,9,9,0,0,1360.22
strict_grade_10_12_age_15_19,M0_core_controls,9,9,0,0,1689.22
strict_grade_10_12_age_15_19,M1_family_context,9,9,0,0,1166.11
strict_grade_10_12_age_15_19,M2_school_context,9,4,5,0,2478.5
strict_grade_10_12_age_15_19,M3_knowledge_attitudes,9,9,0,0,1617.67
strict_grade_10_12_age_15_19,M4_peers_relationships,9,5,4,0,1851
strict_grade_10_12_age_15_19,M5_general_risk_behaviors,9,0,9,0,NA
strict_grade_10_12_age_15_19,M6_final_parsimonious_model,9,9,0,0,1356.11
