model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,or_interpretation_flag
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.6734554658442626,0.4388034575866749,1.5347542372344183,0.1255071971807864,1.9610018014343622,0.8297761519386181,4.634416229298047,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.42350054163247935,0.3533446138268583,1.1985481738232977,0.2312988022054259,1.527298581197327,0.7641013042131853,3.0527901775136317,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.16741188159999837,0.1863591272111526,-0.898329392851866,0.3694631847297767,0.8458511490548802,0.5870321028630637,1.218782010162665,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP132,num_H1WP13,-2.437004661203107,1.1869376086603427,-2.053186825846452,0.041055015426230586,0.08742231913858171,0.008536515511480018,0.8952905753278467,*,estimated,large_or_extreme_or_review
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP133,num_H1WP13,-1.265365492936596,1.1101914157639339,-1.139772362647828,0.25543006716724903,0.2821361585205381,0.03202172603914021,2.485837641838231,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP134,num_H1WP13,-1.035662687713775,1.0990650785464489,-0.9423124325662992,0.34690743769776333,0.35499105474919856,0.041178860800611644,3.0602752602149854,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP135,num_H1WP13,-0.8706144927891971,1.097779720106978,-0.7930684788969832,0.42846103118383705,0.4186941856237473,0.04869091852548531,3.600359705339644,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,a_grade_wave111,a_grade_wave1,0.3473045666148223,0.5130763695186036,0.6769061824864054,0.49906727254123007,1.415247696937513,0.517717725022306,3.8687608070607156,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,a_grade_wave112,a_grade_wave1,0.22200523381570764,0.6925257732315931,0.3205732441981839,0.7487913150141035,1.248577912673874,0.32131115930974646,4.851829010128501,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,a_age_wave1,a_age_wave1,0.018313125094480315,0.3062291982062714,0.05980202149810962,0.9523592550149625,1.0184818386872603,0.558837747214343,1.8561832319067073,,estimated,confidence_interval_includes_one
