sample_name,outcome,n_models_requested,n_models_fitted,n_models_skipped,n_models_failed,min_n_complete,max_n_complete,min_n_yes,max_n_yes
main_grade_10_12,a_H1CO13_yesno,7,5,2,0,244,481,184,363
main_grade_10_12,a_H1CO16A_yesno,7,4,3,0,1016,1763,23,59
main_grade_10_12,a_H1CO16C_yesno,7,4,3,0,1395,1764,22,25
main_grade_10_12,a_H1CO3_yesno,7,6,1,0,1031,1756,716,1200
main_grade_10_12,a_H1CO6_yesno,7,5,2,0,1581,1749,1098,1203
main_grade_10_12,a_H1CO8_yesno,7,4,3,0,225,402,129,247
main_grade_10_12,a_H1FP7_yesno,7,5,2,0,379,896,53,163
main_grade_10_12,a_H1HS9_yesno,7,6,1,0,2250,3255,122,232
main_grade_10_12,a_sex_ever,7,6,1,0,2275,3226,1113,1766
strict_grade_10_12_age_15_19,a_H1CO13_yesno,7,5,2,0,244,478,184,360
strict_grade_10_12_age_15_19,a_H1CO16A_yesno,7,4,3,0,1013,1753,23,58
strict_grade_10_12_age_15_19,a_H1CO16C_yesno,7,4,3,0,1392,1753,22,25
strict_grade_10_12_age_15_19,a_H1CO3_yesno,7,6,1,0,1026,1746,713,1196
strict_grade_10_12_age_15_19,a_H1CO6_yesno,7,5,2,0,1572,1738,1093,1197
strict_grade_10_12_age_15_19,a_H1CO8_yesno,7,4,3,0,224,398,128,244
strict_grade_10_12_age_15_19,a_H1FP7_yesno,7,5,2,0,379,892,53,161
strict_grade_10_12_age_15_19,a_H1HS9_yesno,7,6,1,0,2243,3237,120,229
strict_grade_10_12_age_15_19,a_sex_ever,7,6,1,0,2265,3208,1108,1755
