sample_name,predictor,predictor_source,n_models_used
main_grade_10_12,a_age_wave1,mandatory_control,45
main_grade_10_12,a_grade_wave1,mandatory_control,45
main_grade_10_12,num_H1MO10,suggested_block_predictor,13
main_grade_10_12,num_H1HS9,suggested_block_predictor,9
main_grade_10_12,num_H1MO9,suggested_block_predictor,9
main_grade_10_12,num_H1PR8,suggested_block_predictor,8
main_grade_10_12,num_H1PA7,suggested_block_predictor,7
main_grade_10_12,num_H1WP14,suggested_block_predictor,7
main_grade_10_12,num_H1WP8,suggested_block_predictor,7
main_grade_10_12,num_H1BC1,suggested_block_predictor,6
main_grade_10_12,num_H1BC4,suggested_block_predictor,6
main_grade_10_12,num_H1PA3,suggested_block_predictor,6
main_grade_10_12,num_H1SE2,suggested_block_predictor,6
main_grade_10_12,num_H1WP13,suggested_block_predictor,6
main_grade_10_12,num_H1GH46,suggested_block_predictor,5
main_grade_10_12,num_H1MO2,suggested_block_predictor,5
main_grade_10_12,num_H1PF12,suggested_block_predictor,5
main_grade_10_12,num_H1RM1,suggested_block_predictor,5
main_grade_10_12,num_H1BC3,suggested_block_predictor,4
main_grade_10_12,num_H1BC7,suggested_block_predictor,4
main_grade_10_12,num_H1MO3,suggested_block_predictor,4
main_grade_10_12,num_H1PF6,suggested_block_predictor,4
main_grade_10_12,num_H1PR2,suggested_block_predictor,4
main_grade_10_12,num_H1SE1,suggested_block_predictor,4
main_grade_10_12,num_H1SE3,suggested_block_predictor,4
main_grade_10_12,num_H1WP1,suggested_block_predictor,4
main_grade_10_12,num_H1BC5,suggested_block_predictor,3
main_grade_10_12,num_H1BC6,suggested_block_predictor,3
main_grade_10_12,num_H1ED19,suggested_block_predictor,3
main_grade_10_12,num_H1ED20,suggested_block_predictor,3
main_grade_10_12,num_H1ED24,suggested_block_predictor,3
main_grade_10_12,num_H1GI1Y,suggested_block_predictor,3
main_grade_10_12,num_H1MO14,suggested_block_predictor,3
main_grade_10_12,num_H1MO5,suggested_block_predictor,3
main_grade_10_12,num_H1PR7,suggested_block_predictor,3
main_grade_10_12,num_H1BC2,suggested_block_predictor,2
main_grade_10_12,num_H1ED23,suggested_block_predictor,2
main_grade_10_12,num_H1MO13,suggested_block_predictor,2
main_grade_10_12,num_H1PF9,suggested_block_predictor,2
main_grade_10_12,num_H1PR3,suggested_block_predictor,2
main_grade_10_12,num_H1PR5,suggested_block_predictor,2
main_grade_10_12,num_H1RP5,suggested_block_predictor,2
main_grade_10_12,num_H1TS8,suggested_block_predictor,2
main_grade_10_12,num_PA21,suggested_block_predictor,2
main_grade_10_12,num_H1BC8,suggested_block_predictor,1
main_grade_10_12,num_H1GH44,suggested_block_predictor,1
main_grade_10_12,num_H1GI20,suggested_block_predictor,1
main_grade_10_12,num_H1MO11,suggested_block_predictor,1
