model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP132,num_H1WP13,-2.437004661203107,1.1869376086603427,-2.053186825846452,0.041055015426230586,0.08742231913858171,0.008536515511480018,0.8952905753278467,*,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE26,num_H1SE2,-17.315656667404177,0.7121196572968199,-24.31565606984334,1.174527916591673e-79,3.019297162185083e-8,7.477171967165605e-9,1.2191983003213716e-7,***,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE25,num_H1SE2,15.873342941542262,0.8837610181302756,17.961125933258085,9.162881465738146e-53,7828981.176383787,1384945.499110988,44256576.377565965,***,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE35,num_H1SE3,-1.6202114335435556,0.6230200451336743,-2.6005767329619793,0.009667015387008718,0.19785686108353656,0.058347969352873535,0.6709288757090559,**,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA35,num_H1PA3,1.3653957424115668,0.5611789763504359,2.43308427427425,0.015427672850810011,3.9172729763415166,1.3040632263121272,11.767088636163026,*,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE32,num_H1SE3,-0.8131691043022856,0.35869114660097107,-2.267045373179791,0.02394428667416444,0.4434504961575872,0.21954374957385256,0.8957136922554906,*,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA34,num_H1PA3,1.238661278389659,0.5542471309532694,2.234853748830853,0.026003013185712954,3.450990455492057,1.164552510094704,10.226533385711203,*,estimated
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO23,num_H1MO2,2.1472674189679712,0.9998804780356895,2.1475240952662418,0.03237858354270523,8.561431598349495,1.2062322783237027,60.76616612770414,*,estimated
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,num_H1PF125,num_H1PF12,-3.7662016976810055,1.1705922570545848,-3.2173471804413167,0.0013835500652913811,0.023139788490620455,0.0023330881060901394,0.22950261072136466,**,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE26,num_H1SE2,-17.86340699124457,1.386172169583425,-12.88686022069893,2.957580136967245e-28,1.7459062340948695e-8,1.1536852608466137e-9,2.642131854934564e-7,***,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE25,num_H1SE2,14.32980233518618,1.1383205885136636,12.588547092780775,2.5097790374346613e-27,1672453.6125205753,179637.09964538531,15570843.058336932,***,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PF125,num_H1PF12,-16.547175571779622,1.6842216629155282,-9.824820530532234,6.277567293018774e-19,6.51107890024227e-8,2.398913210535461e-9,1.7672231016526565e-6,***,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1MO23,num_H1MO2,4.053734597403969,1.3073251163807746,3.100785372062927,0.00220020028642762,57.61221420568377,4.44321124898477,747.0199006270493,**,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1MO24,num_H1MO2,3.1710341591002713,1.2818344456110773,2.473825048123569,0.01417606473948235,23.832117818294392,1.9321601885909543,293.9558754283527,*,estimated
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1MO25,num_H1MO2,2.554462838676845,1.2369290510147215,2.0651652061864643,0.0401592867464942,12.864387549792054,1.138921655694453,145.3062782710338,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,main_grade_10_12,a_H1CO16A_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.4576364248214608,0.20232003758906078,2.261943158348863,0.023822506159845956,1.5803343282634539,1.0629936770684827,2.3494557333354726,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,num_H1WP144,num_H1WP14,-4.73968129527195,1.4821033652332614,-3.1979424690976215,0.0014264341270887834,0.008741431677180469,4.786198581772757e-4,0.15965202124670666,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,num_H1RM1,num_H1RM1,-0.29951907492868746,0.09620050676527234,-3.113487496063915,0.0019000749394401072,0.741174584422589,0.6138086353722604,0.8949691042727608,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,a_age_wave1,a_age_wave1,0.6000059304544679,0.2525807630684493,2.3755012977447794,0.017707864913105612,1.8221296064151322,1.1106524493400403,2.9893746730108335,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,num_H1WP143,num_H1WP14,-3.3074493435392402,1.4575719000044494,-2.2691500457227147,0.023465949112583394,0.03660943285364967,0.0021032105517822188,0.6372403241939719,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,num_H1WP145,num_H1WP14,-2.468840559414935,1.0935882671044084,-2.257559479814012,0.024182483850055843,0.08468298699576982,0.00992921792399516,0.7222329433615936,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1HS9,num_H1HS9,1.7561500643076007,0.3220574892547809,5.452908635570663,5.6891927276143584e-8,5.790102904978863,3.0799623884485103,10.884967873628021,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1GH464,num_H1GH46,-2.3926582593018795,0.6491242843217314,-3.685978659390263,2.3502871390972347e-4,0.0913864318747006,0.025605660041270392,0.3261575728697733,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1GH465,num_H1GH46,-2.280115923125972,0.6598570380987973,-3.4554695812528124,5.629422611508832e-4,0.10227235029778721,0.0280592841005529,0.3727690841273885,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1GH462,num_H1GH46,-3.386609612631391,1.2072040218246411,-2.805333275408298,0.005084125429986474,0.03382315632708863,0.0031741052562517325,0.36041838929992503,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1MO55,num_H1MO5,1.8396900974066173,0.6673346431567031,2.7567729568246353,0.005900359829709184,6.294587249817562,1.701847110536829,23.281661672338796,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1GH463,num_H1GH46,-1.799445602830409,0.6722164026837896,-2.6768844015799296,0.0075030213617759585,0.16539055486486903,0.04429029271164593,0.6176079218215832,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1MO54,num_H1MO5,1.388167864821709,0.5384785284708246,2.5779446931038064,0.01002314813644546,4.0075010392255885,1.3947984841315337,11.514254397396991,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1MO102,num_H1MO10,-1.4142905244003472,0.6358055246953427,-2.2244074162111587,0.026252932687159836,0.24309802439746364,0.06991539905401283,0.845259417317993,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,num_H1MO104,num_H1MO10,0.8007849535414456,0.40662934754533914,1.9693240499621296,0.049079309334571726,2.2272885605411687,1.0037986289244538,4.942041350696948,*,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1MO105,num_H1MO10,-17.269456215009495,0.7121051483319503,-24.251272800739923,3.0170362045904785e-102,3.162062577091181e-8,7.830947653365966e-9,1.2768109536708263e-7,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH444,num_H1GH44,14.682705783332521,1.0032940733912932,14.634498670666563,4.965960927643502e-44,2380225.486370835,333117.1135533044,17007452.140589908,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH462,num_H1GH46,-19.218530464330602,1.319432236435012,-14.565757856771299,1.1375988443779592e-43,4.50296186558905e-9,3.3913676689419996e-10,5.978905132770492e-8,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH445,num_H1GH44,14.947674922871053,1.0465913970333685,14.282245167733285,3.382415063694237e-42,3102363.886414394,398856.0224197692,24130666.56318136,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH442,num_H1GH44,15.17650215440049,1.325609956849106,11.448693543668085,1.3988552178566038e-28,3900058.669313688,290194.49192394695,52414701.33787093,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH443,num_H1GH44,14.303664644948803,1.2710890328457651,11.25307848257111,1.0116668290087612e-27,1629305.885462193,134905.5442847517,19677750.69939652,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1MO54,num_H1MO5,2.6541380186865964,0.6014899771041115,4.4126055623819544,1.1339402600891553e-5,14.212729670311987,4.371987291699801,46.20363034102729,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1HS9,num_H1HS9,2.2740636422915195,0.5683341999358983,4.001278899893775,6.772172046821986e-5,9.718814463827407,3.190343561148434,29.606640404677773,***,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1RM1,num_H1RM1,-0.38103520878910735,0.1286015005069259,-2.9629141750845007,0.003120671954768374,0.68315383617711,0.5309464290279289,0.8789948257829837,**,estimated
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,num_H1GH464,num_H1GH46,-3.088396410135148,1.1011243963555128,-2.8047661284747503,0.005134370794738023,0.04557497941296876,0.005265389131597832,0.39447772929599545,**,estimated
