model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.6734554658442626,0.4388034575866749,1.5347542372344185,0.1255071971807864,1.9610018014343624,0.8297761519386181,4.634416229298047,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,5.585140303768183,0.6734554658442627,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,(Intercept),(Intercept),3.6558468582904697,3.008795164406574,1.2150534212293294,0.22494680581286217,38.700280895477576,0.10631045295972502,14088.094817508343,NA,estimated,condom_or_contraceptive_use,other,132518.43469094727,3.6558468582904693,not_statistically_significant,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.42350054163247935,0.3533446138268583,1.1985481738232977,0.2312988022054259,1.527298581197327,0.7641013042131853,3.0527901775136317,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,3.9952689004466073,0.4235005416324794,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.16741188159999837,0.1863591272111526,-0.898329392851866,0.3694631847297767,0.8458511490548802,0.5870321028630637,1.218782010162665,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.076176080010685,0.1674118815999983,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP132,num_H1WP13,-2.437004661203107,1.1869376086603427,-2.053186825846452,0.04105501542623058,0.08742231913858171,0.00853651551148001,0.8952905753278467,*,estimated,condom_or_contraceptive_use,other,104.87775417544184,2.437004661203107,p_lt_0_05,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP133,num_H1WP13,-1.265365492936596,1.110191415763934,-1.139772362647828,0.25543006716724903,0.2821361585205381,0.03202172603914021,2.485837641838231,NA,estimated,condom_or_contraceptive_use,other,77.62972048414215,1.265365492936596,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP134,num_H1WP13,-1.035662687713775,1.0990650785464489,-0.9423124325662992,0.34690743769776333,0.35499105474919856,0.04117886080061164,3.0602752602149854,NA,estimated,condom_or_contraceptive_use,other,74.31665667083074,1.035662687713775,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP135,num_H1WP13,-0.8706144927891971,1.097779720106978,-0.7930684788969832,0.42846103118383705,0.4186941856237473,0.04869091852548531,3.600359705339644,NA,estimated,condom_or_contraceptive_use,other,73.94314616297864,0.8706144927891971,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,a_grade_wave111,a_grade_wave1,0.3473045666148223,0.5130763695186036,0.6769061824864054,0.49906727254123007,1.415247696937513,0.517717725022306,3.868760807060715,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,7.472722335118097,0.34730456661482234,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,(Intercept),(Intercept),1.865388686850684,4.902791648261549,0.3804748030669671,0.7039036512016272,6.458445711115383,4.332988237985463e-4,96265.0224566906,NA,estimated,condom_or_contraceptive_use,other,222167744.68200982,1.8653886868506842,not_statistically_significant,higher_odds,extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept
