model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision,final_model_decision,final_model_reporting_status,suitability_score,final_selection_class,interpretation_direction,interpretation_strength_flag,reporting_caution
main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,main_grade_10_12,a_H1CO16A_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.4576364248214608,0.2023200375890608,2.261943158348863,0.02382250615984595,1.580334328263454,1.0629936770684827,2.3494557333354726,*,estimated,hiv_sti_or_sexual_health,core_sociodemographic,2.2102255018249846,0.4576364248214609,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.2927619730761787,0.7691475622812648,0.38063173756653,0.7035224621059228,1.3401237669273145,0.2967790818854999,6.051409348912072,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,20.390282598309142,0.2927619730761787,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci,alternative_final_model_with_caution,report_only_after_manual_review,75,usable_with_caution,associated_with_higher_odds,small_or_modest_association,manual_review_required_before_interpretation
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.1714003969286405,0.07940739851680514,-2.158494046274123,0.03102542910882434,0.8424841778528023,0.7210556948411238,0.9843616727674604,*,estimated,condom_or_contraceptive_use,core_sociodemographic,1.3651673231488077,0.17140039692864045,p_lt_0_05,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_lower_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.3079122530840233,0.1564530723059629,1.968080578704544,0.04975253605527532,1.3605815968600243,1.00126503084168,1.8488434377439904,*,estimated,condom_or_contraceptive_use,core_sociodemographic,1.8465075487454325,0.3079122530840233,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.665314082515608,0.15156478004831014,4.389635126996813,1.2713376932840436e-5,1.945101347731272,1.4451991232401633,2.617922466257463,***,estimated,pregnancy_or_reproductive_experience,core_sociodemographic,1.8114614271201825,0.6653140825156079,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.47431890611422134,0.10728867854078232,4.420959532406994,1.0147929600886368e-5,1.606919361732922,1.3021712924757796,1.982987837339511,***,estimated,hiv_sti_or_sexual_health,core_sociodemographic,1.5228317877975295,0.4743189061142213,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_age_wave1,a_age_wave1,0.288230423581535,0.06003639322341862,4.800928372044574,1.6512370555548106e-6,1.3340646686689588,1.1859677320926576,1.500655112302644,***,estimated,sexual_initiation,core_sociodemographic,1.2653422784570334,0.288230423581535,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_grade_wave112,a_grade_wave1,0.3983716211806088,0.14705644586190017,2.708970823045167,0.00678492395423993,1.489397418702544,1.1164354625752289,1.9869528917694383,**,estimated,sexual_initiation,core_sociodemographic,1.7797292887725262,0.39837162118060876,p_lt_0_01,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_grade_wave111,a_grade_wave1,0.27575587637320914,0.1099599375959648,2.5077849478820418,0.01219785717651629,1.317526185493441,1.062085468808066,1.6344025979462815,*,estimated,sexual_initiation,core_sociodemographic,1.5388616509182664,0.27575587637320903,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.33903849967750493,0.16537908868268378,2.0500687383035774,0.04101905899114602,1.403597382219078,1.0150069764901557,1.9409577047289943,*,estimated,condom_or_contraceptive_use,core_sociodemographic,1.9122604570076265,0.33903849967750493,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate,associated_with_higher_odds,small_or_modest_association,can_be_interpreted_cautiously
