model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes.x,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion,model_stage_rank,min_outcome_cell,n_coefficients_reviewed,n_significant_05,n_significant_10,n_extreme_or,n_very_extreme_or,n_or_missing,n_not_estimable_terms,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,n_candidate_for_interpretation,n_coefficients_requiring_review,model_sample_flag,outcome_cell_flag,parameter_pressure_flag,instability_flag,conceptual_review_flag,final_selection_class,suitability_score,selection_priority,final_model_decision,final_model_reporting_status,conservative_model_id,conservative_model_stage,conservative_suitability_score,conservative_selection_class,outcome_family,modeling_priority,recommended_modeling_status,n_nonmissing,n_yes,n_no,weighted_pct_yes.y,n_coefficients_compared,n_same_direction,share_same_direction,n_robust_significant_same_direction,n_partially_robust_same_direction,n_direction_changes_or_unstable,robustness_summary,outcome_reporting_readiness
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,481,481,363,118,363,118,1525590.891950221,1177084.685278844,77.15598536211316,fitted,NA,NA,4,477,516.9640549924464,514.2028814973494,1.001869526605867,2,118,3,0,0,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1CO13_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,481,363,118,77.15598536211316,3,3,100,0,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,main_grade_10_12,a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1763,1763,59,1704,59,1704,5604909.973560025,173021.344007809,3.0869602691925566,fitted,NA,NA,4,1759,485.71397372860434,474.6841050560143,0.9945727500437008,2,59,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,1763,59,1704,3.0869602691925566,3,2,66.67,0,1,1,moderate_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1764,1764,25,1739,25,1739,5609344.634380597,66382.365302251,1.1834246178311554,fitted,NA,NA,4,1760,226.74324352240595,222.60956528323652,0.9981664850421916,2,25,3,0,0,0,0,0,0,1,0,0,0,1,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,wide_ci_review,no_automatic_conceptual_overlap_flag,usable_with_caution,75,2,alternative_final_model_with_caution,report_only_after_manual_review,main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,M0_core_controls,75,usable_with_caution,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,1764,25,1739,1.1834246178311554,3,3,100,0,0,0,high_directional_robustness,manual_review_required_before_reporting
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1756,1756,1200,556,1200,556,5581873.58834999,3827744.486663493,68.57454627156793,fitted,NA,NA,4,1752,2186.088635035831,2179.0896436845496,1.000339636675622,2,556,3,0,0,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1CO3_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,1756,1200,556,68.57454627156793,3,3,100,0,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1749,1749,1203,546,1203,546,5561251.759330382,3839182.669185804,69.0345058150734,fitted,NA,NA,4,1745,2164.6473956737887,2154.1473748232797,1.000115038774284,2,546,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1CO6_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,1749,1203,546,69.0345058150734,3,3,100,0,1,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,402,402,247,155,247,155,1302085.615583309,825327.048939056,63.38500625931003,fitted,NA,NA,4,398,528.1273161723373,521.8790787756932,1.0020652560128682,2,155,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1CO8_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,402,247,155,63.38500625931003,3,3,100,1,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,896,896,163,733,163,733,2822670.218714383,504720.186113637,17.880947719904647,fitted,NA,NA,4,892,841.4935082738231,809.9152400553347,1.0108616142113078,2,163,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1FP7_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,896,163,733,17.880947719904647,3,3,100,1,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,3255,3255,232,3023,232,3023,10406633.674782334,697621.476636519,6.703622885535178,fitted,NA,NA,4,3251,1600.8365176911395,1550.9671174656637,1.0017530698574455,2,232,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_H1HS9_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,3255,232,3023,6.703622885535178,3,3,100,1,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,3226,3226,1766,1460,1766,1460,10282120.940502644,5613426.773857993,54.59405512092312,fitted,NA,NA,4,3222,4444.912825753335,4300.974372281272,1.0008605531645638,2,1460,3,3,3,0,0,0,0,0,0,0,3,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,main_grade_10_12__a_sex_ever__M0_core_controls,M0_core_controls,100,technically_stable_candidate,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,3226,1766,1460,54.59405512092312,3,3,100,3,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,478,478,360,118,360,118,1516383.585997021,1167877.379325644,77.01727914429814,fitted,NA,NA,4,474,515.3485026120769,512.1917399828877,1.0021358404037308,2,118,3,0,0,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,481,363,118,77.15598536211316,3,3,100,0,0,0,high_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1753,1753,58,1695,58,1695,5574560.619153083,168347.867743347,3.019930703864573,fitted,NA,NA,4,1749,474.83264894474354,466.22183657467247,0.9915150173377804,2,58,3,0,1,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1,alternative_stable_final_model,ready_for_cautious_reporting,strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,M0_core_controls,100,technically_stable_candidate,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,1763,59,1704,3.0869602691925566,3,2,66.67,0,1,1,moderate_directional_robustness,ready_for_cautious_reporting_with_sensitivity_support
