sample_name,outcome,outcome_label,model_stage,selected_model_label,final_model_decision,final_model_decision_label,final_model_reporting_status,final_model_reporting_status_label,final_selection_class,suitability_score,n_complete,n_outcome_yes,n_outcome_no,weighted_pct_yes,n_parameters,n_significant_05,n_extreme_or,n_very_extreme_or,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,reporting_note
main_grade_10_12,a_H1CO13_yesno,H1CO13,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,481,363,118,77.15598536211316,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1CO16A_yesno,H1CO16A,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1763,59,1704,3.0869602691925566,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1CO16C_yesno,H1CO16C,M0_core_controls,M0: Core controls,alternative_final_model_with_caution,Alternative model with caution,report_only_after_manual_review,Report only after manual review,usable_with_caution,75,1764,25,1739,1.1834246178311554,4,0,0,0,1,0,0,Model requires manual review before substantive reporting.
main_grade_10_12,a_H1CO3_yesno,H1CO3,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1756,1200,556,68.57454627156793,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1CO6_yesno,H1CO6,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1749,1203,546,69.0345058150734,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1CO8_yesno,H1CO8,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,402,247,155,63.38500625931003,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1FP7_yesno,H1FP7,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,896,163,733,17.880947719904647,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_H1HS9_yesno,H1HS9,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,3255,232,3023,6.703622885535178,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
main_grade_10_12,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,3226,1766,1460,54.59405512092312,4,3,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1CO13_yesno,H1CO13,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,478,360,118,77.01727914429814,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1CO16A_yesno,H1CO16A,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1753,58,1695,3.019930703864573,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1CO16C_yesno,H1CO16C,M0_core_controls,M0: Core controls,alternative_final_model_with_caution,Alternative model with caution,report_only_after_manual_review,Report only after manual review,usable_with_caution,85,1753,25,1728,1.1906434004995683,4,0,0,0,0,0,0,Model requires manual review before substantive reporting.
strict_grade_10_12_age_15_19,a_H1CO3_yesno,H1CO3,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1746,1196,550,68.77794427478028,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1CO6_yesno,H1CO6,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,1738,1197,541,69.1378569732184,4,0,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1CO8_yesno,H1CO8,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,398,244,154,63.367335939552056,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1FP7_yesno,H1FP7,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,892,161,731,17.712761967407506,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_H1HS9_yesno,H1HS9,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,3237,229,3008,6.642353288530319,4,1,0,0,0,0,0,Model can be reported cautiously as an associational result.
strict_grade_10_12_age_15_19,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,alternative_stable_final_model,Alternative stable model,ready_for_cautious_reporting,Ready for cautious reporting,technically_stable_candidate,100,3208,1755,1453,54.60520870105166,4,3,0,0,0,0,0,Model can be reported cautiously as an associational result.
