sample_name,outcome,outcome_label,model_stage,selected_model_label,term,term_variable,predictor_label,odds_ratio,conf_low_or,conf_high_or,p_value,odds_ratio_formatted,confidence_interval_formatted,p_value_formatted,significance,coefficient_reporting_decision,coefficient_decision_label,final_model_reporting_status,suitability_score,table_inclusion_status
main_grade_10_12,a_H1CO16A_yesno,H1CO16A,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.580334328263454,1.0629936770684827,2.3494557333354726,0.02382250615984595,1.58,[1.06; 2.35],0.024,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_H1CO6_yesno,H1CO6,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,0.8424841778528023,0.7210556948411238,0.9843616727674604,0.03102542910882434,0.84,[0.72; 0.98],0.031,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_H1CO8_yesno,H1CO8,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.3605815968600243,1.00126503084168,1.8488434377439904,0.04975253605527532,1.36,[1.00; 1.85],0.050,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_H1FP7_yesno,H1FP7,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.945101347731272,1.4451991232401633,2.617922466257463,1.2713376932840436e-5,1.95,[1.45; 2.62],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_H1HS9_yesno,H1HS9,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.606919361732922,1.3021712924757796,1.982987837339511,1.0147929600886368e-5,1.61,[1.30; 1.98],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.3340646686689588,1.1859677320926576,1.500655112302644,1.6512370555548106e-6,1.33,[1.19; 1.50],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_grade_wave112,a_grade_wave1,grade,1.489397418702544,1.1164354625752289,1.9869528917694383,0.00678492395423993,1.49,[1.12; 1.99],0.007,**,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
main_grade_10_12,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_grade_wave111,a_grade_wave1,grade,1.317526185493441,1.062085468808066,1.6344025979462815,0.01219785717651629,1.32,[1.06; 1.63],0.012,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_H1CO8_yesno,H1CO8,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.403597382219078,1.0150069764901557,1.9409577047289943,0.04101905899114602,1.40,[1.02; 1.94],0.041,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_H1FP7_yesno,H1FP7,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.853174996060991,1.3604404950789837,2.5243717593295165,9.85761898710974e-5,1.85,[1.36; 2.52],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_H1HS9_yesno,H1HS9,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.6252616697341626,1.290638968271424,2.046641671330329,3.732310476119147e-5,1.63,[1.29; 2.05],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_age_wave1,a_age_wave1,age,1.3536215339252706,1.199288765395535,1.52781490994948,9.939577185527829e-7,1.35,[1.20; 1.53],<0.001,***,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_grade_wave112,a_grade_wave1,grade,1.4770935781780965,1.103134760662383,1.977823124152933,0.00885946715544751,1.48,[1.10; 1.98],0.009,**,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
strict_grade_10_12_age_15_19,a_sex_ever,sex ever,M0_core_controls,M0: Core controls,a_grade_wave111,a_grade_wave1,grade,1.3085940678106616,1.0530871243265478,1.6260937910567947,0.0152911019525318,1.31,[1.05; 1.63],0.015,*,candidate_for_interpretation,Candidate for cautious interpretation,ready_for_cautious_reporting,100,include_in_main_reporting_table
