sample,outcome,outcome_label,selected_model,predictor,odds_ratio,confidence_interval,p_value,interpretation_status
Main sample: grades 10-12,a_H1CO16A_yesno,H1CO16A,M0: Core controls,age,1.58,[1.06; 2.35],0.024,Candidate for cautious interpretation
Main sample: grades 10-12,a_H1CO6_yesno,H1CO6,M0: Core controls,age,0.84,[0.72; 0.98],0.031,Candidate for cautious interpretation
Main sample: grades 10-12,a_H1CO8_yesno,H1CO8,M0: Core controls,age,1.36,[1.00; 1.85],0.050,Candidate for cautious interpretation
Main sample: grades 10-12,a_H1FP7_yesno,H1FP7,M0: Core controls,age,1.95,[1.45; 2.62],<0.001,Candidate for cautious interpretation
Main sample: grades 10-12,a_H1HS9_yesno,H1HS9,M0: Core controls,age,1.61,[1.30; 1.98],<0.001,Candidate for cautious interpretation
Main sample: grades 10-12,a_sex_ever,sex ever,M0: Core controls,age,1.33,[1.19; 1.50],<0.001,Candidate for cautious interpretation
Main sample: grades 10-12,a_sex_ever,sex ever,M0: Core controls,grade,1.49,[1.12; 1.99],0.007,Candidate for cautious interpretation
Main sample: grades 10-12,a_sex_ever,sex ever,M0: Core controls,grade,1.32,[1.06; 1.63],0.012,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_H1CO8_yesno,H1CO8,M0: Core controls,age,1.4,[1.02; 1.94],0.041,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_H1FP7_yesno,H1FP7,M0: Core controls,age,1.85,[1.36; 2.52],<0.001,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_H1HS9_yesno,H1HS9,M0: Core controls,age,1.63,[1.29; 2.05],<0.001,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_sex_ever,sex ever,M0: Core controls,age,1.35,[1.20; 1.53],<0.001,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_sex_ever,sex ever,M0: Core controls,grade,1.48,[1.10; 1.98],0.009,Candidate for cautious interpretation
Strict sensitivity sample: grades 10-12 and ages 15-19,a_sex_ever,sex ever,M0: Core controls,grade,1.31,[1.05; 1.63],0.015,Candidate for cautious interpretation
