Sample,Domain,Outcome,Issue,Detail
Main sample: grades 10-12,Contraception and protection,Birth control use at first sex,Coefficient requires review or appendix placement.,"Age: OR 0.88, 95 percent CI [0.75; 1.04], p = 0.129."
Main sample: grades 10-12,Contraception and protection,Birth control use at first sex,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.20, 95 percent CI [0.81; 1.78], p = 0.360."
Main sample: grades 10-12,Contraception and protection,Birth control use at first sex,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.87, 95 percent CI [0.64; 1.20], p = 0.413."
Main sample: grades 10-12,Contraception and protection,Birth control use at most recent sex,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.38, 95 percent CI [0.93; 2.04], p = 0.113."
Main sample: grades 10-12,Contraception and protection,Birth control use at most recent sex,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.92, 95 percent CI [0.67; 1.26], p = 0.585."
Main sample: grades 10-12,Contraception and protection,Ever used a condom during sex,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.63, 95 percent CI [0.34; 1.17], p = 0.142."
Main sample: grades 10-12,Contraception and protection,Ever used a condom during sex,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 0.65, 95 percent CI [0.30; 1.43], p = 0.289."
Main sample: grades 10-12,Contraception and protection,Ever used birth-control pills,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.96, 95 percent CI [0.83; 4.63], p = 0.126."
Main sample: grades 10-12,Contraception and protection,Ever used birth-control pills,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.53, 95 percent CI [0.76; 3.05], p = 0.231."
Main sample: grades 10-12,Contraception and protection,Ever used birth-control pills,Coefficient requires review or appendix placement.,"Age: OR 0.85, 95 percent CI [0.59; 1.22], p = 0.369."
Main sample: grades 10-12,Pregnancy and reproductive experience,Ever been pregnant,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 0.59, 95 percent CI [0.29; 1.20], p = 0.147."
Main sample: grades 10-12,Pregnancy and reproductive experience,Ever been pregnant,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.80, 95 percent CI [0.43; 1.49], p = 0.479."
Main sample: grades 10-12,STI-related outcomes,STD testing or treatment,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.19, 95 percent CI [0.75; 1.88], p = 0.463."
Main sample: grades 10-12,STI-related outcomes,STD testing or treatment,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.09, 95 percent CI [0.65; 1.85], p = 0.745."
Main sample: grades 10-12,STI-related outcomes,Self-reported chlamydia diagnosis,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.83, 95 percent CI [0.33; 2.07], p = 0.684."
Main sample: grades 10-12,STI-related outcomes,Self-reported chlamydia diagnosis,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 0.97, 95 percent CI [0.35; 2.71], p = 0.961."
Main sample: grades 10-12,STI-related outcomes,Self-reported gonorrhea diagnosis,Outcome requires manual review before public interpretation.,Reporting status: Manual review required; suitability score: 75.
Main sample: grades 10-12,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"Age: OR 1.49, 95 percent CI [0.89; 2.49], p = 0.125."
Main sample: grades 10-12,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.44, 95 percent CI [0.35; 6.01], p = 0.614."
Main sample: grades 10-12,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.34, 95 percent CI [0.30; 6.05], p = 0.704."
Sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Birth control use at first sex,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.84, 95 percent CI [0.61; 1.16], p = 0.300."
Sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Birth control use at first sex,Coefficient requires review or appendix placement.,"Age: OR 0.92, 95 percent CI [0.78; 1.09], p = 0.346."
