Amostra,Domínio,Desfecho,Preditor,OR,IC 95%,p
Amostra principal: 10.ª a 12.ª classe,Contraceção e proteção,Uso de contraceção na relação sexual mais recente,Idade,0.84,[0.72; 0.98],"0,031"
Amostra principal: 10.ª a 12.ª classe,Contraceção e proteção,Uso de preservativo alguma vez,Idade,1.36,[1.00; 1.85],"0,050"
Amostra principal: 10.ª a 12.ª classe,Gravidez e experiência reprodutiva,Gravidez alguma vez,Idade,1.95,[1.45; 2.62],"<0,001"
Amostra principal: 10.ª a 12.ª classe,Indicadores relacionados com IST,Teste ou tratamento de IST,Idade,1.61,[1.30; 1.98],"<0,001"
Amostra principal: 10.ª a 12.ª classe,Indicadores relacionados com IST,Diagnóstico autorreportado de clamídia,Idade,1.58,[1.06; 2.35],"0,024"
Amostra principal: 10.ª a 12.ª classe,Iniciação sexual,Iniciação sexual,11.ª classe vs 10.ª classe,1.32,[1.06; 1.63],"0,012"
Amostra principal: 10.ª a 12.ª classe,Iniciação sexual,Iniciação sexual,12.ª classe vs 10.ª classe,1.49,[1.12; 1.99],"0,007"
Amostra principal: 10.ª a 12.ª classe,Iniciação sexual,Iniciação sexual,Idade,1.33,[1.19; 1.50],"<0,001"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Contraceção e proteção,Uso de preservativo alguma vez,Idade,1.40,[1.02; 1.94],"0,041"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Gravidez e experiência reprodutiva,Gravidez alguma vez,Idade,1.85,[1.36; 2.52],"<0,001"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Indicadores relacionados com IST,Teste ou tratamento de IST,Idade,1.63,[1.29; 2.05],"<0,001"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Iniciação sexual,Iniciação sexual,11.ª classe vs 10.ª classe,1.31,[1.05; 1.63],"0,015"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Iniciação sexual,Iniciação sexual,12.ª classe vs 10.ª classe,1.48,[1.10; 1.98],"0,009"
Amostra de sensibilidade: 10.ª a 12.ª classe e 15 a 19 anos,Iniciação sexual,Iniciação sexual,Idade,1.35,[1.20; 1.53],"<0,001"
