sample,domain,outcome,predictor,n_complete,n_yes,n_no,OR,CI_low,CI_high,p_value,status,model_role,OR_text,CI_95,p_text,interpretation
Main sample: grades 10-12,Sexual initiation,Sexual initiation,"School connectedness/climate core index, standardized",3226,1766,1460,0.6624978433858435,0.6084128792111613,0.7213906994538882,4.9535255346268796e-21,fitted,primary,0.66,[0.61; 0.72],<0.001,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,Sexual initiation,Sexual initiation,"School adjustment/problem index, standardized",3226,1766,1460,1.416334198228316,1.2940865800895753,1.550130100979946,5.3104847685802565e-14,fitted,primary,1.42,[1.29; 1.55],<0.001,Higher predictor values were associated with higher odds of the outcome.
Main sample: grades 10-12,Sexual initiation,Sexual initiation,"School connectedness/climate extended index, standardized",3226,1766,1460,0.672680974956879,0.6177622996868859,0.7324818855056188,1.2388516537204883e-19,fitted,sensitivity,0.67,[0.62; 0.73],<0.001,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,Contraception and protection,Birth control use at most recent sex,"School connectedness/climate core index, standardized",1749,1203,546,1.1979143935628975,1.0756078331586627,1.3341283412664473,0.0010346340870366001,fitted,primary,1.20,[1.08; 1.33],0.001,Higher predictor values were associated with higher odds of the outcome.
Main sample: grades 10-12,Contraception and protection,Birth control use at most recent sex,"School adjustment/problem index, standardized",1749,1203,546,0.8373488896549757,0.7454981953728198,0.9405162445172351,0.0027874068578327155,fitted,primary,0.84,[0.75; 0.94],0.003,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,Contraception and protection,Birth control use at most recent sex,"School connectedness/climate extended index, standardized",1749,1203,546,1.205591827319709,1.0827703866320242,1.3423452211516989,6.629542535092696e-4,fitted,sensitivity,1.21,[1.08; 1.34],<0.001,Higher predictor values were associated with higher odds of the outcome.
Main sample: grades 10-12,Contraception and protection,Ever used a condom during sex,"School connectedness/climate core index, standardized",402,247,155,0.8371992639233683,0.6607698113921556,1.0607364250450841,0.1419042666085448,fitted,primary,0.84,[0.66; 1.06],0.142,No statistically significant association at the 5 percent level.
Main sample: grades 10-12,Contraception and protection,Ever used a condom during sex,"School adjustment/problem index, standardized",402,247,155,0.9342246058661537,0.7500309024460086,1.1636528726476008,0.5440272038923759,fitted,primary,0.93,[0.75; 1.16],0.544,No statistically significant association at the 5 percent level.
Main sample: grades 10-12,Contraception and protection,Ever used a condom during sex,"School connectedness/climate extended index, standardized",402,247,155,0.8684132323297019,0.6983696204342152,1.0798601772173724,0.20519718388039118,fitted,sensitivity,0.87,[0.70; 1.08],0.205,No statistically significant association at the 5 percent level.
Main sample: grades 10-12,Pregnancy and reproductive experience,Ever been pregnant,"School connectedness/climate core index, standardized",896,163,733,0.849081512272595,0.7125294580411466,1.0118029596489813,0.06775903177322173,fitted,primary,0.85,[0.71; 1.01],0.068,No statistically significant association at the 5 percent level.
