variable,full_n_valid,full_missing_percent,main_n_valid,main_missing_percent,restricted_n_valid,restricted_missing_percent
H1MO1,4357,33.01045510455104,3196,1.9331083154341824,3184,1.728395061728395
H1MO10,4356,33.025830258302584,3196,1.9331083154341824,3184,1.728395061728395
H1MO11,4333,33.37945879458795,3178,2.4854249769868058,3166,2.2839506172839505
H1MO12,4340,33.27183271832718,3182,2.3626879410862225,3170,2.1604938271604937
H1MO13,4351,33.10270602706027,3191,2.086529610309911,3179,1.8827160493827162
H1MO14,4350,33.11808118081181,3192,2.0558453513347654,3180,1.8518518518518516
H1MO2,4336,33.33333333333333,3183,2.332003682111077,3171,2.1296296296296298
H1MO3,4343,33.22570725707257,3185,2.270635164160786,3173,2.0679012345679015
H1MO4,4080,37.269372693726936,2990,8.254065664314208,2980,8.024691358024691
H1MO5,4297,33.9329643296433,3154,3.2218471923903036,3143,2.993827160493827
H1MO6,4283,34.14821648216482,3145,3.4980055231666154,3133,3.3024691358024687
H1MO7,4321,33.56396063960639,3172,2.6695305308376804,3160,2.4691358024691357
H1MO8,4328,33.456334563345635,3175,2.577477753912243,3163,2.376543209876543
H1MO9,4345,33.194956949569494,3190,2.117213869285057,3178,1.9135802469135803
H1PF1,6119,5.919434194341944,3036,6.842589751457502,3021,6.7592592592592595
H1PF10,6483,0.32287822878228783,3252,0.21478981282602025,3234,0.1851851851851852
H1PF11,6180,4.981549815498155,3196,1.9331083154341824,3181,1.8209876543209875
H1PF12,6138,5.627306273062731,3167,2.822951825713409,3150,2.7777777777777777
H1PF13,6459,0.6918819188191881,3246,0.39889536667689474,3228,0.3703703703703704
H1PF14,6451,0.8148831488314884,3244,0.46026388462718626,3227,0.4012345679012346
H1PF15,6469,0.5381303813038131,3249,0.3068425897514575,3231,0.2777777777777778
H1PF16,6442,0.9532595325953259,3243,0.490948143602332,3227,0.4012345679012346
H1PF17,6040,7.134071340713407,3126,4.081006443694385,3111,3.981481481481482
H1PF18,6432,1.107011070110701,3240,0.5830009205277692,3223,0.5246913580246914
H1PF19,6440,0.984009840098401,3244,0.46026388462718626,3228,0.3703703703703704
H1PF2,6118,5.934809348093481,3037,6.8119054924823565,3021,6.7592592592592595
H1PF20,6411,1.429889298892989,3233,0.7977907333537895,3217,0.7098765432098766
H1PF21,6440,0.984009840098401,3241,0.5523166615526235,3224,0.49382716049382713
H1PF22,6171,5.119926199261993,3189,2.1478981282602025,3173,2.0679012345679015
H1PF23,4541,30.181426814268143,2298,29.487572875115063,2288,29.38271604938272
H1PF24,4539,30.212177121771216,2298,29.487572875115063,2288,29.38271604938272
H1PF25,4539,30.212177121771216,2297,29.518257134090213,2287,29.41358024691358
H1PF26,6481,0.35362853628536284,3250,0.27615833077631174,3232,0.24691358024691357
H1PF27,6481,0.35362853628536284,3250,0.27615833077631174,3232,0.24691358024691357
H1PF28,6482,0.33825338253382536,3251,0.245474071801166,3233,0.21604938271604937
H1PF29,6463,0.6303813038130381,3250,0.27615833077631174,3233,0.21604938271604937
H1PF3,6120,5.904059040590406,3036,6.842589751457502,3020,6.790123456790123
H1PF30,6479,0.3843788437884379,3250,0.27615833077631174,3232,0.24691358024691357
H1PF31,6480,0.36900369003690037,3251,0.245474071801166,3233,0.21604938271604937
H1PF32,6479,0.3843788437884379,3250,0.27615833077631174,3232,0.24691358024691357
H1PF33,6482,0.33825338253382536,3251,0.245474071801166,3233,0.21604938271604937
H1PF34,6482,0.33825338253382536,3251,0.245474071801166,3233,0.21604938271604937
H1PF35,6479,0.3843788437884379,3250,0.27615833077631174,3233,0.21604938271604937
H1PF36,6482,0.33825338253382536,3251,0.245474071801166,3233,0.21604938271604937
H1PF4,6122,5.873308733087331,3038,6.78122123350721,3022,6.728395061728396
H1PF5,6121,5.8886838868388685,3037,6.8119054924823565,3021,6.7592592592592595
H1PF6,6295,3.213407134071341,3219,1.22737035900583,3203,1.1419753086419753
