category,n,table,priority
raw_variables_scanned,2794,overall,NA
candidate_variables_selected,1902,overall,NA
high_priority_candidates,76,overall,NA
medium_priority_candidates,186,overall,NA
low_priority_candidates,1640,overall,NA
manual_review_rows,262,overall,NA
codebook_text_hit_lines,18172,overall,NA
final_never_sex_age_15_19_n,2143,overall,NA
attitude_or_intention_candidate,71,priority_by_role,High
peer_partner_pressure_context,3,priority_by_role,High
core_sexual_delay_candidate,1,priority_by_role,High
sample_filter_or_outcome_not_index_item,1,priority_by_role,High
peer_partner_pressure_context,1526,priority_by_role,Low
attitude_or_intention_candidate,105,priority_by_role,Low
core_sexual_delay_candidate,5,priority_by_role,Low
consequence_or_prevention_context,4,priority_by_role,Low
peer_partner_pressure_context,130,priority_by_role,Medium
attitude_or_intention_candidate,56,priority_by_role,Medium
