var1,var2,correlation,block
family_connectedness_mean_1_5,friend_support_mean_1_5,0.3043,tpb_pilot_construct_level
family_connectedness_mean_1_5,sexual_delay_deterrence_mean_1_5,0.0731,tpb_pilot_construct_level
family_connectedness_mean_1_5,tpb_attitudes_delay_mean_1_5,0.1117,tpb_pilot_construct_level
family_connectedness_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.1196,tpb_pilot_construct_level
family_connectedness_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.1006,tpb_pilot_construct_level
friend_support_mean_1_5,sexual_delay_deterrence_mean_1_5,0.0415,tpb_pilot_construct_level
friend_support_mean_1_5,tpb_attitudes_delay_mean_1_5,0.0918,tpb_pilot_construct_level
friend_support_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.1225,tpb_pilot_construct_level
friend_support_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.1185,tpb_pilot_construct_level
sexual_delay_deterrence_mean_1_5,tpb_attitudes_delay_mean_1_5,0.5676,tpb_pilot_construct_level
sexual_delay_deterrence_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.8179,tpb_pilot_construct_level
sexual_delay_deterrence_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.8348,tpb_pilot_construct_level
tpb_attitudes_delay_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.842,tpb_pilot_construct_level
tpb_attitudes_delay_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.5295,tpb_pilot_construct_level
tpb_delay_orientation_proxy_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.904,tpb_pilot_construct_level
