var1,var2,correlation
family_connectedness_mean_1_5,friend_support_mean_1_5,0.3043
family_connectedness_mean_1_5,maternal_norm_delay_H1MO4,0.0362
family_connectedness_mean_1_5,partner_norm_delay_H1MO2,0.0253
family_connectedness_mean_1_5,peer_norm_delay_H1MO1,0.1251
family_connectedness_mean_1_5,sexual_delay_deterrence_mean_1_5,0.0731
family_connectedness_mean_1_5,tpb_attitudes_delay_mean_1_5,0.1117
family_connectedness_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.1196
family_connectedness_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.1006
friend_support_mean_1_5,maternal_norm_delay_H1MO4,0.0891
friend_support_mean_1_5,partner_norm_delay_H1MO2,-0.0272
friend_support_mean_1_5,peer_norm_delay_H1MO1,0.1828
friend_support_mean_1_5,sexual_delay_deterrence_mean_1_5,0.0415
friend_support_mean_1_5,tpb_attitudes_delay_mean_1_5,0.0918
friend_support_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.1225
friend_support_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.1185
maternal_norm_delay_H1MO4,partner_norm_delay_H1MO2,0.2876
maternal_norm_delay_H1MO4,peer_norm_delay_H1MO1,0.1247
maternal_norm_delay_H1MO4,sexual_delay_deterrence_mean_1_5,0.7289
maternal_norm_delay_H1MO4,tpb_attitudes_delay_mean_1_5,0.4088
maternal_norm_delay_H1MO4,tpb_delay_orientation_proxy_mean_1_5,0.6493
maternal_norm_delay_H1MO4,tpb_subjective_norms_delay_mean_1_5,0.7001
partner_norm_delay_H1MO2,peer_norm_delay_H1MO1,0.0445
partner_norm_delay_H1MO2,sexual_delay_deterrence_mean_1_5,0.7591
partner_norm_delay_H1MO2,tpb_attitudes_delay_mean_1_5,0.3487
partner_norm_delay_H1MO2,tpb_delay_orientation_proxy_mean_1_5,0.6171
partner_norm_delay_H1MO2,tpb_subjective_norms_delay_mean_1_5,0.6942
peer_norm_delay_H1MO1,sexual_delay_deterrence_mean_1_5,0.1626
peer_norm_delay_H1MO1,tpb_attitudes_delay_mean_1_5,0.2999
peer_norm_delay_H1MO1,tpb_delay_orientation_proxy_mean_1_5,0.5239
peer_norm_delay_H1MO1,tpb_subjective_norms_delay_mean_1_5,0.5863
sexual_delay_deterrence_mean_1_5,tpb_attitudes_delay_mean_1_5,0.5676
sexual_delay_deterrence_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.8179
sexual_delay_deterrence_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.8348
tpb_attitudes_delay_mean_1_5,tpb_delay_orientation_proxy_mean_1_5,0.842
tpb_attitudes_delay_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.5295
tpb_delay_orientation_proxy_mean_1_5,tpb_subjective_norms_delay_mean_1_5,0.904
