model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M1_A_unadjusted,linear_regression,(Intercept),3.10556,0.07503,41.3907,0,<0.001,2.95842,3.2527,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,A_unadjusted,FALSE
M1_A_unadjusted,linear_regression,family_connectedness_mean_1_5,0.09397,0.01824,5.1531,0,<0.001,0.05821,0.12974,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,A_unadjusted,FALSE
M1_B_interpersonal,linear_regression,(Intercept),2.97439,0.08809,33.7651,0,<0.001,2.80164,3.14715,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_B_interpersonal,linear_regression,family_connectedness_mean_1_5,0.07796,0.01908,4.0859,5e-5,<0.001,0.04054,0.11538,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_B_interpersonal,linear_regression,friend_support_mean_1_5,0.04574,0.01619,2.8257,0.00476,0.005,0.01399,0.07748,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_C_adjusted,linear_regression,(Intercept),3.71064,0.22631,16.3961,0,<0.001,3.2668,4.15448,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,family_connectedness_mean_1_5,0.07507,0.01938,3.8731,1.1e-4,<0.001,0.03706,0.11308,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,friend_support_mean_1_5,0.02277,0.01673,1.3613,0.17357,0.174,-0.01003,0.05558,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,age_covariate,-0.03937,0.02057,-1.9144,0.05571,0.056,-0.07971,9.6e-4,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,sex_covariateMale,-0.19965,0.02438,-8.1894,0,<0.001,-0.24746,-0.15184,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,grade_covariate,0.01134,0.01916,0.5917,0.55414,0.554,-0.02625,0.04892,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,linear_regression,residence_covariateUrban,8.4e-4,0.02656,0.0317,0.97468,0.975,-0.05125,0.05294,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_D_adjusted_weighted,linear_regression,(Intercept),3.90552,0.22163,17.622,0,<0.001,3.47087,4.34017,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,family_connectedness_mean_1_5,0.0607,0.01934,3.1379,0.00173,0.002,0.02276,0.09863,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,friend_support_mean_1_5,0.01839,0.01673,1.0989,0.27194,0.272,-0.01443,0.05121,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,age_covariate,-0.0579,0.02068,-2.7991,0.00517,0.005,-0.09846,-0.01733,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,sex_covariateMale,-0.20374,0.02416,-8.4344,0,<0.001,-0.25112,-0.15637,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,grade_covariate,0.03006,0.01913,1.5714,0.11625,0.116,-0.00746,0.06758,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,linear_regression,residence_covariateUrban,-0.01346,0.02662,-0.5058,0.61306,0.613,-0.06567,0.03874,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M2_A_unadjusted,linear_regression,(Intercept),2.96195,0.13721,21.5866,0,<0.001,2.69286,3.23104,peer_norm_delay_H1MO1,Peer norm item,A_unadjusted,FALSE
