model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M1_A_unadjusted,standardized_linear_regression,(Intercept),-0,0.02168,-0,1,1.000,-0.04252,0.04252,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,A_unadjusted,FALSE
M1_A_unadjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.11175,0.02169,5.1531,0,<0.001,0.06922,0.15427,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,A_unadjusted,FALSE
M1_B_interpersonal,standardized_linear_regression,(Intercept),0,0.02165,0,1,1.000,-0.04246,0.04246,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_B_interpersonal,standardized_linear_regression,family_connectedness_mean_1_5,0.09272,0.02269,4.0859,5e-5,<0.001,0.04822,0.13722,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_B_interpersonal,standardized_linear_regression,friend_support_mean_1_5,0.06412,0.02269,2.8257,0.00476,0.005,0.01962,0.10862,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,B_interpersonal,FALSE
M1_C_adjusted,standardized_linear_regression,(Intercept),0.1795,0.04624,3.882,1.1e-4,<0.001,0.08882,0.27018,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.0892,0.02303,3.8731,1.1e-4,<0.001,0.04403,0.13437,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,friend_support_mean_1_5,0.03199,0.0235,1.3613,0.17357,0.174,-0.01409,0.07807,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,age_covariate,-0.07732,0.04039,-1.9144,0.05571,0.056,-0.15653,0.00189,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,sex_covariateMale,-0.36622,0.04472,-8.1894,0,<0.001,-0.45393,-0.27852,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,grade_covariate,0.02389,0.04038,0.5917,0.55414,0.554,-0.05531,0.1031,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_C_adjusted,standardized_linear_regression,residence_covariateUrban,0.00155,0.04873,0.0317,0.97468,0.975,-0.09401,0.09711,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,C_adjusted,FALSE
M1_D_adjusted_weighted,standardized_linear_regression,(Intercept),0.19564,0.04707,4.1563,3e-5,<0.001,0.10333,0.28796,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,standardized_linear_regression,family_connectedness_mean_1_5,0.07212,0.02298,3.1379,0.00173,0.002,0.02705,0.1172,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,standardized_linear_regression,friend_support_mean_1_5,0.02583,0.0235,1.0989,0.27194,0.272,-0.02027,0.07192,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
M1_D_adjusted_weighted,standardized_linear_regression,age_covariate,-0.1137,0.04062,-2.7991,0.00517,0.005,-0.19337,-0.03404,tpb_attitudes_delay_mean_1_5,TPB-compatible delay-supportive attitudes,D_adjusted_weighted,TRUE
