model_id,model_label,dependent_variable,weighted,n_used,r_squared,adj_r_squared,residual_se,f_statistic,f_p_value_display
M1_A_unadjusted,M1: delay-supportive attitudes,tpb_attitudes_delay_mean_1_5,FALSE,2102,0.01249,0.01202,0.55026,26.5545,<0.001
M1_B_interpersonal,M1: delay-supportive attitudes,tpb_attitudes_delay_mean_1_5,FALSE,2101,0.01626,0.01533,0.54937,17.3419,<0.001
M1_C_adjusted,M1: delay-supportive attitudes,tpb_attitudes_delay_mean_1_5,FALSE,1971,0.05289,0.04999,0.53135,18.2777,<0.001
M1_D_adjusted_weighted,M1: delay-supportive attitudes,tpb_attitudes_delay_mean_1_5,TRUE,1971,0.05304,0.05015,29.99014,18.3346,<0.001
M2_A_unadjusted,M2: peer norm,peer_norm_delay_H1MO1,FALSE,2108,0.01565,0.01518,1.00704,33.4846,<0.001
M2_B_interpersonal,M2: peer norm,peer_norm_delay_H1MO1,FALSE,2107,0.03885,0.03794,0.99545,42.5224,<0.001
M2_C_adjusted,M2: peer norm,peer_norm_delay_H1MO1,FALSE,1976,0.1292,0.12655,0.94808,48.6911,<0.001
M2_D_adjusted_weighted,M2: peer norm,peer_norm_delay_H1MO1,TRUE,1976,0.13102,0.12837,53.27445,49.4771,<0.001
M3_A_unadjusted,M3: partner norm,partner_norm_delay_H1MO2,FALSE,2088,6.4e-4,1.6e-4,1.1123,1.3401,0.247
M3_B_interpersonal,M3: partner norm,partner_norm_delay_H1MO2,FALSE,2087,0.00199,0.00103,1.11137,2.0805,0.125
M3_C_adjusted,M3: partner norm,partner_norm_delay_H1MO2,FALSE,1957,0.01371,0.01067,1.10055,4.5162,<0.001
M3_D_adjusted_weighted,M3: partner norm,partner_norm_delay_H1MO2,TRUE,1957,0.01369,0.01065,62.37237,4.5102,<0.001
M4_A_unadjusted,M4: maternal norm,maternal_norm_delay_H1MO4,FALSE,2018,0.00131,8.2e-4,0.99108,2.6515,0.104
M4_B_interpersonal,M4: maternal norm,maternal_norm_delay_H1MO4,FALSE,2017,0.00804,0.00706,0.98783,8.1632,<0.001
M4_C_adjusted,M4: maternal norm,maternal_norm_delay_H1MO4,FALSE,1896,0.04772,0.04469,0.95985,15.775,<0.001
M4_D_adjusted_weighted,M4: maternal norm,maternal_norm_delay_H1MO4,TRUE,1896,0.05136,0.04835,54.98442,17.0462,<0.001
